date,value,metric
1993-01-01,56.0,approval
1993-02-01,55.0,approval
1993-03-01,52.5,approval
1993-04-01,55.0,approval
1993-05-01,44.5,approval
1993-06-01,40.7,approval
1993-07-01,43.0,approval
1993-08-01,44.0,approval
1993-09-01,49.7,approval
1993-10-01,48.3,approval
1993-11-01,48.7,approval
1993-12-01,53.0,approval
1994-01-01,55.3,approval
1994-02-01,53.0,approval
1994-03-01,50.8,approval
1994-04-01,49.5,approval
1994-05-01,51.0,approval
1994-06-01,46.3,approval
1994-07-01,42.5,approval
1994-08-01,41.0,approval
1994-09-01,41.3,approval
1994-10-01,43.7,approval
1994-11-01,44.5,approval
1994-12-01,41.3,approval
1995-01-01,47.0,approval
1995-02-01,45.5,approval
1995-03-01,45.0,approval
1995-04-01,48.0,approval
1995-05-01,51.0,approval
1995-06-01,47.0,approval
1995-07-01,47.0,approval
1995-08-01,46.0,approval
1995-09-01,46.0,approval
1995-10-01,47.5,approval
1995-11-01,52.5,approval
1995-12-01,51.0,approval
1996-01-01,46.7,approval
1996-02-01,53.0,approval
1996-03-01,53.0,approval
1996-04-01,55.0,approval
1996-05-01,54.0,approval
1996-06-01,55.0,approval
1996-07-01,57.5,approval
1996-08-01,54.0,approval
1996-09-01,60.0,approval
1996-10-01,56.3,approval
1996-11-01,58.0,approval
1996-12-01,58.0,approval
1997-01-01,60.0,approval
1997-02-01,58.5,approval
1997-03-01,59.0,approval
1997-04-01,54.0,approval
1997-05-01,57.0,approval
1997-06-01,56.0,approval
1997-07-01,58.0,approval
1997-08-01,60.5,approval
1997-09-01,59.5,approval
1997-10-01,57.0,approval
1997-11-01,60.0,approval
1997-12-01,56.0,approval
1998-01-01,59.0,approval
1998-02-01,67.0,approval
1998-03-01,64.5,approval
1998-04-01,63.0,approval
1998-05-01,64.0,approval
1998-06-01,60.0,approval
1998-07-01,62.0,approval
1998-08-01,63.7,approval
1998-09-01,64.0,approval
1998-10-01,64.3,approval
1998-11-01,66.0,approval
1998-12-01,66.5,approval
1999-01-01,68.3,approval
1999-02-01,66.2,approval
