district,party,name,descriptor,year,office,state,cand_key,office_level,bio_in_office,bio_prior_candidacy,src
S,DEM,Adam B. Schiff,,2024,Senate,CA,schiff a,4,0,0,manual
S,REP,Markwayne Mullin,,2022,Senate,OK,mullin m,4,0,0,manual
,DEM,Jared Polis,,2022,Governor,CO,polis j,4,0,0,manual
22,DEM,Nicholas V. Lampson,,2006,House,TX,lampson n,4,0,0,manual
S,REP,Tim Scott,,2014,Senate,SC,scott t,4,0,0,manual
,REP,C.L. 'Butch' Otter,,2014,Governor,ID,otter c,4,0,0,manual
,REP,C.L. 'Butch' Otter,,2010,Governor,ID,otter c,4,0,0,manual
,REP,Robert Ehrlich Jr.,,2010,Governor,MD,ehrlich r,4,0,0,manual
,REP,Robert Ehrlich Jr.,,2006,Governor,MD,ehrlich r,4,0,0,manual
,REP,Frank Murkowski,,2002,Governor,AK,murkowski f,4,0,0,manual
,REP,C. Dirk Kempthorne,,2002,Governor,ID,kempthorne c,4,0,0,manual
,REP,Robert Ehrlich Jr.,,2002,Governor,MD,ehrlich r,4,0,0,manual
,REP,Mark Sanford,,2002,Governor,SC,sanford m,4,0,0,manual
,REP,John R. Thune,,2004,Senate,SD,thune j,4,0,0,manual
S,REP,Jim Talent,,2002,Senate,MO,talent j,4,0,0,manual
,REP,John R. Thune,,2002,Senate,SD,thune j,4,0,0,manual
,REP,George F. Allen,,2000,Senate,VA,allen g,4,0,0,manual
1,REP,Steve Chabot,,2010,House,OH,chabot s,4,0,0,manual
,REP,John Cornyn,,2026,Senate,TX,cornyn j,4,0,0,ballotpedia
,OTH,Angus S. King Jr.,,2024,Senate,ME,king a,4,0,0,ballotpedia
,OTH,Bernie Sanders,,2024,Senate,VT,sanders b,4,0,0,ballotpedia
,OTH,"Joe Manchin, III",,2024,Senate,WV,manchin j,4,0,0,ballotpedia
,DEM,Richard J. Durbin,,2020,Senate,IL,durbin r,4,0,0,ballotpedia
,DEM,Dianne Feinstein,,2018,Senate,CA,feinstein d,4,0,0,ballotpedia
,OTH,Bernie Sanders,,2018,Senate,VT,sanders b,4,0,0,ballotpedia
,OTH,Angus S. King Jr.,,2018,Senate,ME,king a,4,0,0,ballotpedia
5,REP,Michael Baumgartner,,2026,House,WA,baumgartner m,4,0,0,ballotpedia
40,REP,Young Kim,,2026,House,CA,kim y,4,0,0,ballotpedia
40,REP,Ken Calvert,,2026,House,CA,calvert k,4,0,0,ballotpedia
22,REP,David G. Valadao,,2026,House,CA,valadao d,4,0,0,ballotpedia
2,DEM,C.A. Dutch Ruppersberger,,2022,House,MD,ruppersberger c,4,0,0,ballotpedia
50,REP,Darrell E. Issa,,2020,House,CA,issa d,4,0,0,ballotpedia
49,DEM,Mike Levin,,2020,House,CA,levin m,4,0,0,ballotpedia
1,REP,Doug LaMalfa,,2020,House,CA,lamalfa d,4,0,0,ballotpedia
22,REP,Devin Nunes,,2020,House,CA,nunes d,4,0,0,ballotpedia
21,REP,David G. Valadao,,2020,House,CA,valadao d,4,0,0,ballotpedia
19,REP,John J. Faso,,2018,House,NY,faso j,4,0,0,ballotpedia
2,REP,Bill Huizenga,,2018,House,MI,huizenga b,4,0,0,ballotpedia
,OTH,"Joe Manchin, III",,2024,Governor,WV,manchin j,4,0,0,ballotpedia
,DEM,Jay Robert Inslee,,2020,Governor,WA,inslee j,4,0,0,ballotpedia
,DEM,Richard J. Durbin,,2014,Senate,IL,durbin r,4,0,0,ballotpedia
S,DEM,Brian Schatz,,2014,Senate,HI,schatz b,4,0,0,ballotpedia
,DEM,Neil Abercrombie,,2010,Governor,HI,abercrombie n,4,0,0,ballotpedia
,DEM,Mary L. Landrieu,,2014,Senate,LA,landrieu m,4,0,0,ballotpedia
,DEM,Debbie Stabenow,,2012,Senate,MI,stabenow d,4,0,0,ballotpedia
,DEM,Sherrod Brown,,2012,Senate,OH,brown s,4,0,0,ballotpedia
,DEM,Maria Cantwell,,2012,Senate,WA,cantwell m,4,0,0,ballotpedia
,DEM,Richard J. Durbin,,2008,Senate,IL,durbin r,4,0,0,ballotpedia
S,REP,Roger F. Wicker,,2008,Senate,MS,wicker r,4,0,0,ballotpedia
,OTH,Bernard Sanders,,2006,Senate,VT,sanders b,4,0,0,ballotpedia
,DEM,Richard J. Durbin,,2002,Senate,IL,durbin r,4,0,0,ballotpedia
,DEM,Mary L. Landrieu,,2002,Senate,LA,landrieu m,4,0,0,ballotpedia
,DEM,Frank R. Lautenberg,,2002,Senate,NJ,lautenberg f,4,0,0,ballotpedia
,DEM,Debbie Stabenow,,2000,Senate,MI,stabenow d,4,0,0,ballotpedia
,DEM,Maria Cantwell,,2000,Senate,WA,cantwell m,4,0,0,ballotpedia
24,DEM,Brad Sherman,,1998,House,CA,sherman b,4,0,0,ballotpedia
46,DEM,Loretta Sanchez,,1998,House,CA,sanchez l,4,0,0,ballotpedia
1,DEM,Neil Abercrombie,,1998,House,HI,abercrombie n,4,0,0,ballotpedia
6,DEM,John F. Tierney,,1998,House,MA,tierney j,4,0,0,ballotpedia
2,DEM,Bob R. Etheridge,,1998,House,NC,etheridge b,4,0,0,ballotpedia
4,DEM,David E. Price,,1998,House,NC,price d,4,0,0,ballotpedia
1,DEM,Earl Pomeroy,,1998,House,ND,pomeroy e,4,0,0,ballotpedia
6,DEM,Ted Strickland,,1998,House,OH,strickland t,4,0,0,ballotpedia
1,DEM,Jay Robert Inslee,,1998,House,WA,inslee j,4,0,0,ballotpedia
1,DEM,Jay Robert Inslee,,2000,House,WA,inslee j,4,0,0,ballotpedia
3,DEM,Leonard L. Boswell,,2002,House,IA,boswell l,4,0,0,ballotpedia
3,DEM,Dennis Moore,,2002,House,KS,moore d,4,0,0,ballotpedia
2,DEM,Jim Matheson,,2002,House,UT,matheson j,4,0,0,ballotpedia
2,DEM,Rick Larsen,,2002,House,WA,larsen r,4,0,0,ballotpedia
3,DEM,Dennis Moore,,2004,House,KS,moore d,4,0,0,ballotpedia
2,DEM,Michael H. Michaud,,2004,House,ME,michaud m,4,0,0,ballotpedia
5,DEM,John M. Spratt,,2006,House,SC,spratt j,4,0,0,ballotpedia
2,DEM,Rick Larsen,,2006,House,WA,larsen r,4,0,0,ballotpedia
2,DEM,Michael H. Michaud,,2008,House,ME,michaud m,4,0,0,ballotpedia
2,DEM,Jim Matheson,,2008,House,UT,matheson j,4,0,0,ballotpedia
2,DEM,Bobby N. Bright,,2010,House,AL,bright b,4,0,0,ballotpedia
15,DEM,Michael M. Honda,,2010,House,CA,honda m,4,0,0,ballotpedia
18,DEM,Dennis A. Cardoza,,2010,House,CA,cardoza d,4,0,0,ballotpedia
20,DEM,Jim Costa,,2010,House,CA,costa j,4,0,0,ballotpedia
47,DEM,Loretta Sanchez,,2010,House,CA,sanchez l,4,0,0,ballotpedia
1,DEM,John B. Larson,,2010,House,CT,larson j,4,0,0,ballotpedia
3,DEM,Leonard L. Boswell,,2010,House,IA,boswell l,4,0,0,ballotpedia
6,DEM,Albert Ben Chandler,,2010,House,KY,chandler a,4,0,0,ballotpedia
6,DEM,John F. Tierney,,2010,House,MA,tierney j,4,0,0,ballotpedia
5,DEM,"Emanuel Cleaver, II",,2010,House,MO,cleaver e,4,0,0,ballotpedia
23,DEM,William L. Owens,,2010,House,NY,owens w,4,0,0,ballotpedia
2,DEM,Jim Langevin,,2010,House,RI,langevin j,4,0,0,ballotpedia
5,DEM,John M. Spratt,,2010,House,SC,spratt j,4,0,0,ballotpedia
6,DEM,Albert Ben Chandler,,2012,House,KY,chandler a,4,0,0,ballotpedia
21,DEM,William L. Owens,,2012,House,NY,owens w,4,0,0,ballotpedia
,REP,Thad Cochran,,2014,Senate,MS,cochran t,4,0,0,ballotpedia
S,REP,James Lankford,,2014,Senate,OK,lankford j,4,0,0,ballotpedia
,REP,J. Nathan Deal,,2014,Governor,GA,deal j,4,0,0,ballotpedia
,REP,Mike Pence,,2012,Governor,IN,pence m,4,0,0,ballotpedia
,REP,J. Nathan Deal,,2010,Governor,GA,deal j,4,0,0,ballotpedia
,REP,Dan Lungren,,1998,Governor,CA,lungren d,4,0,0,ballotpedia
,REP,Bill Cassidy,,2014,Senate,LA,cassidy b,4,0,0,ballotpedia
S,REP,John Barrasso,,2008,Senate,WY,barrasso j,4,0,0,ballotpedia
,REP,Saxby Chambliss,,2002,Senate,GA,chambliss s,4,0,0,ballotpedia
,REP,Lindsey Graham,,2002,Senate,SC,graham l,4,0,0,ballotpedia
4,REP,Robert Aderholt,,2000,House,AL,aderholt r,4,0,0,ballotpedia
7,REP,John L. Mica,,2002,House,FL,mica j,4,0,0,ballotpedia
4,REP,Tom Latham,,2002,House,IA,latham t,4,0,0,ballotpedia
1,REP,Denny Rehberg,,2002,House,MT,rehberg d,4,0,0,ballotpedia
2,REP,Charles Bass,,2002,House,NH,bass c,4,0,0,ballotpedia
1,REP,Michael N. Castle,,2004,House,DE,castle m,4,0,0,ballotpedia
1,REP,Denny Rehberg,,2004,House,MT,rehberg d,4,0,0,ballotpedia
2,REP,Charles Bass,,2004,House,NH,bass c,4,0,0,ballotpedia
1,REP,Michael N. Castle,,2006,House,DE,castle m,4,0,0,ballotpedia
3,REP,Peter King,,2006,House,NY,king p,4,0,0,ballotpedia
8,REP,David G. Reichert,,2006,House,WA,reichert d,4,0,0,ballotpedia
50,REP,Brian P. Bilbray,,2008,House,CA,bilbray b,4,0,0,ballotpedia
18,REP,Ileana Ros-Lehtinen,,2008,House,FL,lehtinen i,4,0,0,ballotpedia
21,REP,Lincoln Diaz-Balart,,2008,House,FL,balart l,4,0,0,ballotpedia
25,REP,Mario Diaz-Balart,,2008,House,FL,balart m,4,0,0,ballotpedia
4,REP,Tom Latham,,2008,House,IA,latham t,4,0,0,ballotpedia
4,REP,Geoff Davis,,2008,House,KY,davis g,4,0,0,ballotpedia
6,REP,Sam Graves,,2008,House,MO,graves s,4,0,0,ballotpedia
2,REP,Lee Terry,,2008,House,NE,terry l,4,0,0,ballotpedia
8,REP,David G. Reichert,,2008,House,WA,reichert d,4,0,0,ballotpedia
3,REP,Dan Lungren,,2010,House,CA,lungren d,4,0,0,ballotpedia
44,REP,Ken Calvert,,2010,House,CA,calvert k,4,0,0,ballotpedia
2,REP,Lee Terry,,2010,House,NE,terry l,4,0,0,ballotpedia
2,REP,Charles Bass,,2010,House,NH,bass c,4,0,0,ballotpedia
2,REP,Frank A. LoBiondo,,2010,House,NJ,lobiondo f,4,0,0,ballotpedia
2,REP,Joe Wilson,,2010,House,SC,wilson j,4,0,0,ballotpedia
,REP,Jeff Flake,U.S. representative from the 6th district,2012,Senate,AZ,flake j,4,1,0,wikipedia
,REP,Trent Franks,U.S. representative,2012,Senate,AZ,franks t,4,1,0,wikipedia
,REP,J. D. Hayworth,former U.S. representative,2012,Senate,AZ,hayworth j,4,1,0,wikipedia
,REP,Jon Kyl,incumbent U.S. senator,2012,Senate,AZ,kyl j,4,0,0,wikipedia
,REP,Ben Quayle,U.S. representative,2012,Senate,AZ,quayle b,4,1,0,wikipedia
,REP,David Schweikert,U.S. representative,2012,Senate,AZ,schweikert d,4,1,0,wikipedia
,REP,John Shadegg,former U.S. representative,2012,Senate,AZ,shadegg j,4,1,0,wikipedia
,DEM,Gabby Giffords,former U.S. representative,2012,Senate,AZ,giffords g,4,1,0,wikipedia
,DEM,Janet Napolitano,U.S. secretary of Homeland Security and former Arizona governor,2012,Senate,AZ,napolitano j,4,0,0,wikipedia
,DEM,Ed Pastor,U.S. representative,2012,Senate,AZ,pastor e,4,1,0,wikipedia
,DEM,Chris Murphy,U.S. Representative,2012,Senate,CT,murphy c,4,1,0,wikipedia
,REP,Chris Shays,former U.S. Representative,2012,Senate,CT,shays c,4,1,0,wikipedia
,DEM,Tom Carper,incumbent U.S. senator,2012,Senate,DE,carper t,4,0,0,wikipedia
,DEM,Bill Nelson,incumbent U.S. senator,2012,Senate,FL,nelson b,4,0,0,wikipedia
,REP,Connie Mack IV,U.S. representative from Fort Myers,2012,Senate,FL,mack c,4,1,0,wikipedia
,REP,Dave Weldon,former U.S. representative from Indialantic,2012,Senate,FL,weldon d,4,1,0,wikipedia
,REP,George LeMieux,former U.S. senator,2012,Senate,FL,lemieux g,4,0,0,wikipedia
,REP,Vern Buchanan,U.S. representative,2012,Senate,FL,buchanan v,4,1,0,wikipedia
,REP,Tom Rooney,U.S. representative,2012,Senate,FL,rooney t,4,1,0,wikipedia
,REP,Allen West,U.S. representative,2012,Senate,FL,west a,4,1,0,wikipedia
,DEM,Ed Case,former U.S. representative,2012,Senate,HI,case e,4,1,0,wikipedia
,DEM,Mazie Hirono,U.S. representative and 2002 nominee for governor,2012,Senate,HI,hirono m,4,1,1,wikipedia
,DEM,Daniel Akaka,incumbent U.S. Senator,2012,Senate,HI,akaka d,4,0,0,wikipedia
,DEM,Colleen Hanabusa,U.S. Representative,2012,Senate,HI,hanabusa c,4,1,0,wikipedia
,REP,Charles Djou,former U.S. representative (running for U.S. House),2012,Senate,HI,djou c,4,1,0,wikipedia
,REP,Richard Lugar,incumbent U.S. senator,2012,Senate,IN,lugar r,4,0,0,wikipedia
,DEM,Joe Donnelly,U.S. Representative from Indiana's 2nd congressional district,2012,Senate,IN,donnelly j,4,1,0,wikipedia
,DEM,Brad Ellsworth,former U.S. Representative from Indiana's 8th congressional district and nominee for the U.S. Senate in 2010,2012,Senate,IN,ellsworth b,4,1,1,wikipedia
,DEM,Baron Hill,former U.S. Representative from Indiana's 9th congressional district,2012,Senate,IN,hill b,4,1,0,wikipedia
