candidate,state,office_level,bio_prior_candidacy,offices_json,src_url
Dianne Feinstein,CA,4.0,0,"[[""U.S. Senate California"", 1992, 2023], [""Mayor of San Francisco"", 1978, 1988]]",https://ballotpedia.org/Dianne_Feinstein
William L. Enyart,IL,4.0,0,"[[""U.S. House Illinois District 12"", 2013, 2015]]",https://ballotpedia.org/William_Enyart
Mike Pence,IN,4.0,0,"[[""Governor of Indiana"", 2013, 2017], [""U.S. House Indiana District 6"", 2003, 2013], [""U.S. House Indiana District 2"", 2001, 2003]]",https://ballotpedia.org/Mike_Pence
Debbie Stabenow,MI,4.0,0,"[[""U.S. Senate Michigan"", 2001, 2025], [""U.S. House Michigan District 8"", 1997, 2001], [""Michigan State Senate"", 1991, 1994]]",https://ballotpedia.org/Debbie_Stabenow
Amy Klobuchar,MN,4.0,0,"[[""U.S. Senate Minnesota"", 2007, null]]",https://ballotpedia.org/Amy_Klobuchar
Jack Dalrymple,ND,3.0,0,"[[""Governor of North Dakota"", 2010, 2016], [""Lieutenant Governor of North Dakota"", 2000, 2010]]",https://ballotpedia.org/Jack_Dalrymple
William L. Owens,NY,4.0,0,"[[""U.S. House New York District 21"", 2009, 2015]]",https://ballotpedia.org/William_L._Owens
Sherrod Brown,OH,4.0,0,"[[""U.S. Senate Ohio"", 2007, 2025], [""Ohio Secretary of State"", 1982, 1990]]",https://ballotpedia.org/Sherrod_Brown
Robert P. Casey Jr.,PA,4.0,0,"[[""U.S. Senate Pennsylvania"", 2007, 2025]]",https://ballotpedia.org/Robert_P._Casey
Gary Richard Herbert,UT,3.0,0,"[[""Governor of Utah"", 2009, 2021], [""Lieutenant Governor of Utah"", 2005, 2009], [""Utah County Commissioner"", 1990, 2004]]",https://ballotpedia.org/Gary_Herbert
E. Scott Rigell,VA,4.0,0,"[[""U.S. House Virginia District 2"", 2011, 2017]]",https://ballotpedia.org/Scott_Rigell
Tim Kaine,VA,4.0,0,"[[""U.S. Senate Virginia"", 2013, null], [""Governor of Virginia"", 2006, 2010], [""Lieutenant Governor of Virginia"", 2002, 2006]]",https://ballotpedia.org/Tim_Kaine
Maria Cantwell,WA,4.0,0,"[[""U.S. Senate Washington"", 2001, null], [""U.S. House Washington District 1"", 1993, 1995]]",https://ballotpedia.org/Maria_Cantwell
John C. Carney Jr.,DE,4.0,0,"[[""Governor of Delaware"", 2017, 2025], [""U.S. House Delaware At-large District"", 2011, 2017], [""Lieutenant Governor of Delaware"", 2001, 2009]]",https://ballotpedia.org/John_Carney_(Delaware)
J. Nathan Deal,GA,4.0,0,"[[""U.S. House Georgia District 9"", 1993, 2010], [""Georgia State Senate District 49"", 1981, 1993]]",https://ballotpedia.org/Nathan_Deal
"Earl L. ""Buddy"" Carter",GA,4.0,0,"[[""U.S. House Georgia District 1"", 2015, null], [""Georgia State Senate District 1"", 2009, 2014]]","https://ballotpedia.org/Earl_""Buddy""_Carter"
K. Mark Takai,HI,4.0,0,"[[""U.S. House Hawaii District 1"", 2015, 2016]]",https://ballotpedia.org/K._Mark_Takai
C.L. 'Butch' Otter,ID,,0,[],
Robert Dold,IL,4.0,0,"[[""U.S. House Illinois District 10"", 2015, 2017], [""U.S. House Illinois District 10"", 2011, 2013]]",https://ballotpedia.org/Robert_Dold
Richard J. Durbin,IL,4.0,0,"[[""U.S. Senate Illinois"", 1997, null], [""U.S. House Illinois District 20"", 1983, 1997]]",https://ballotpedia.org/Richard_J._Durbin
Thad Cochran,MS,4.0,0,"[[""U.S. Senate Mississippi"", 1978, 2018], [""U.S. House Mississippi District 4"", 1973, 1978]]",https://ballotpedia.org/Thad_Cochran
James Lankford,OK,4.0,0,"[[""U.S. Senate Oklahoma"", 2015, null], [""U.S. House Oklahoma District 5"", 2011, 2015]]",https://ballotpedia.org/James_Lankford
Tim Scott,SC,,0,[],
Kristi Noem,SD,,0,[],
William Edward Haslam,TN,,0,[],
Rob Bishop,UT,,0,[],
Chris Stewart,UT,,0,[],
Jason Chaffetz,UT,,0,[],
Mia B. Love,UT,,0,[],
Kamala Harris,CA,,0,[],
Richard Blumenthal,CT,,0,[],
Carlos Curbelo,FL,,0,[],
