district,party,name,descriptor,year,office,state,cand_key,office_level,bio_in_office,bio_prior_candidacy
,DEM,Jay Nixon,incumbent governor,2012,Governor,MO,nixon j,3,0,0
,REP,Dave Spence,businessman,2012,Governor,MO,spence d,0,0,0
,DEM,Steve Bullock,Montana Attorney General,2012,Governor,MT,bullock s,3,0,0
,DEM,John Walsh,Brigadier general and former adjutant general in the Montana National Guard,2012,Governor,MT,walsh j,0,0,0
,DEM,Heather Margolis,Montana representative for community service organization ServeNext,2012,Governor,MT,margolis h,2,1,0
,DEM,Larry Jent,state senator,2012,Governor,MT,jent l,2,0,0
,DEM,John Bohlinger,Lieutenant Governor of Montana,2012,Governor,MT,bohlinger j,3,0,0
,DEM,Carl Borgquist,president of Grasslands Renewable Energy of Bozeman,2012,Governor,MT,borgquist c,0,0,0
,DEM,Dave Wanzenried,state senator,2012,Governor,MT,wanzenried d,2,0,0
,DEM,Pat Williams,former U.S. representative,2012,Governor,MT,williams p,4,1,0
,REP,Bob Fanning,retired businessman,2012,Governor,MT,fanning b,0,0,0
,REP,Running mate: Joel Boniek,former state representative,2012,Governor,MT,boniek r,2,1,0
,REP,Chuck Baldwin,pastor and Constitution Party nominee for president in 2008 (dropped out February 2012),2012,Governor,MT,baldwin c,0,0,1
,REP,Rick Hill,former U.S. representative,2012,Governor,MT,hill r,4,1,0
,REP,Jon Sonju,state senator,2012,Governor,MT,sonju j,2,0,0
,REP,Neil Livingstone,terrorism and national security analyst,2012,Governor,MT,livingstone n,0,0,0
,REP,Ryan Zinke,state senator,2012,Governor,MT,zinke r,2,0,0
,REP,Jim Lynch,former Montana Department of Transportation director,2012,Governor,MT,lynch j,0,0,0
,REP,Carroll College,Trustee,2012,Governor,MT,college c,0,0,0
,REP,Ken Miller,former state senator and former chairman of the Montana Republican Party,2012,Governor,MT,miller k,2,0,0
,REP,Chouteau County,Commissioner,2012,Governor,MT,county c,0,0,0
,REP,Corey Stapleton,former state senator,2012,Governor,MT,stapleton c,2,0,0
,REP,Jeff Essmann,Majority Leader of the Montana Senate,2012,Governor,MT,essmann j,2,0,0
,REP,Drew Turiano,real estate investor,2012,Governor,MT,turiano d,0,0,0
,REP,Denny Rehberg,U.S. representative ( ran for the U.S. Senate ),2012,Governor,MT,rehberg d,4,1,0
,DEM,Bruce Blackmon,physician,2012,Governor,NC,blackmon b,0,0,0
,DEM,Walter H. Dalton,Lieutenant Governor,2012,Governor,NC,dalton w,3,0,0
,DEM,Gary M. Dunn,salesman and UNC-Charlotte student,2012,Governor,NC,dunn g,0,0,0
,DEM,Bob Etheridge,former U.S. Representative,2012,Governor,NC,etheridge b,4,1,0
,DEM,Bill Faison,state representative,2012,Governor,NC,faison b,2,1,0
