candidate,state,offices_json,source_note
A. Paul Cellucci,MA,"[[""Lieutenant Governor of Massachusetts"", 1991, 1997], [""Massachusetts House of Representatives"", 1977, 1985], [""Massachusetts Senate"", 1985, 1991]]",MA Lt Gov 1991-97 (acting Gov from 1997); prior state legislator
Baron P. Hill,IN,[],first federal run 1998; no prior elected office held before 1998 (businessman); level 0 pre-1999
David Wu,OR,[],attorney; first office US House 1999; level 0 before
Christopher S. Bond,MO,"[[""Governor of Missouri"", 1973, 1977], [""Governor of Missouri"", 1981, 1985], [""Missouri State Auditor"", 1971, 1973]]",MO Gov 1973-77 & 1981-85 before US Senate 1987
George Pataki,NY,"[[""Governor of New York"", 1995, 2006], [""New York State Senate"", 1993, 1995], [""New York State Assembly"", 1985, 1993], [""Mayor of Peekskill"", 1981, 1985]]",NY Gov from 1995; prior state sen/assembly/mayor
Evan Bayh,IN,"[[""Governor of Indiana"", 1989, 1997], [""Indiana Secretary of State"", 1987, 1989]]",IN Gov 1989-97 before US Senate 1999
Ernest Lee Fletcher,KY,"[[""Kentucky House of Representatives"", 1995, 1997]]",KY state house before US House 1999; level 2 as-of pre-1999
Ernest F. Hollings,SC,"[[""Governor of South Carolina"", 1959, 1963], [""Lieutenant Governor of South Carolina"", 1955, 1959], [""South Carolina House of Representatives"", 1949, 1955]]",SC Gov 1959-63; US Senator since 1966 (incumbent 1998)
Julia M. Carson,IN,"[[""Indiana Senate"", 1977, 1990], [""Indiana House of Representatives"", 1972, 1976]]",IN state legislature before US House 1997
George V. Voinovich,OH,"[[""Governor of Ohio"", 1991, 1998], [""Mayor of Cleveland"", 1980, 1989], [""Lieutenant Governor of Ohio"", 1979, 1980]]",OH Gov 1991-98 before US Senate 1999
Gray Davis,CA,"[[""Lieutenant Governor of California"", 1995, 1999], [""California State Controller"", 1987, 1995], [""California State Assembly"", 1983, 1987]]",CA Lt Gov/Controller before Gov 1999
James H. Hodges,SC,"[[""South Carolina House of Representatives"", 1987, 1997]]",SC state house before Gov 1999; level 2 as-of pre-1999
Paul Ryan,WI,[],congressional staffer/speechwriter; first office US House 1999; level 0 before
Robert F. Bennett,UT,[],businessman (Franklin Quest CEO); first office US Senate 1993; level 0 before
Merrill Cook,UT,[],"businessman, perennial candidate; US House 1997; level 0 before (prior candidacies not office)"
Mark Udall,CO,"[[""Colorado House of Representatives"", 1997, 1999]]",CO state house before US House 1999; level 2 as-of pre-1999
Ronnie Shows,MS,"[[""Mississippi Transportation Commission"", 1988, 1996], [""Mississippi Senate"", 1980, 1988]]",MS transportation commissioner + state senate before US House 1999
Shelley Berkley,NV,"[[""Nevada Assembly"", 1983, 1985], [""University and Community College System of Nevada Board of Regents"", 1990, 1998]]",NV assembly + regent before US House 1999
Robert C. Hayes,NC,[],businessman; NC gubernatorial nominee 1996 (lost); first office US House 1999; level 0 before
Richard A. Hill,MT,"[[""Montana Senate"", 1985, 1993]]",MT state senate before US House 1997; level 2 as-of pre-1997
William Graves,KS,"[[""Kansas Secretary of State"", 1987, 1995]]",KS Sec of State before Gov 1995; level 3 as-of
William F. Owens,CO,"[[""Colorado Treasurer"", 1995, 1999], [""Colorado Senate"", 1989, 1994], [""Colorado House of Representatives"", 1983, 1989]]",CO Treasurer/legislature before Gov 1999
Steven T. Kuykendall,CA,"[[""California State Assembly"", 1994, 1998]]",CA assembly before US House 1999; level 2 as-of pre-1999
Victor F. Snyder,AR,"[[""Arkansas Senate"", 1991, 1997]]",AR state senate before US House 1997; level 2 as-of pre-1997
Brad R. Carson,OK,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Betty McCollum,MN,"[[""Minnesota House of Representatives"", 1993, 2001], [""North St. Paul City Council"", 1987, 1992]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Edward M. Kennedy,MA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
E. Clay Shaw,FL,"[[""Mayor of Fort Lauderdale"", 1975, 1981], [""Fort Lauderdale City Commission"", 1971, 1975]]",Stage 3 hardcode (public bio record); leak-free tenure dates
David J. Weldon,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
George F. Allen,VA,"[[""Governor of Virginia"", 1994, 1998], [""U.S. House Virginia"", 1991, 1993], [""Virginia House of Delegates"", 1983, 1991]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Gary Locke,WA,"[[""King County Executive"", 1994, 1997], [""Washington House of Representatives"", 1983, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Hillary Rodham Clinton,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Jennifer B. Dunn,WA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Mark Kirk,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Mark Dayton,MN,"[[""Minnesota State Auditor"", 1991, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Patrick Joseph Kennedy,RI,"[[""Rhode Island House of Representatives"", 1989, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Patrick J. Tiberi,OH,"[[""Ohio House of Representatives"", 1993, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
