district,party,name,descriptor,year,office,state,cand_key,office_level,bio_in_office,bio_prior_candidacy
,REP,Wil Cardon,CEO of a real estate investment firm,2012,Senate,AZ,cardon w,0,0,0
,REP,Jeff Flake,U.S. representative from the 6th district,2012,Senate,AZ,flake j,4,1,0
,REP,Clair Van Steenwyk,conservative radio host,2012,Senate,AZ,steenwyk c,0,0,0
,REP,Doug McKee,businessman,2012,Senate,AZ,mckee d,0,0,0
,REP,Joe Arpaio,Maricopa County sheriff  (running for re-election as sheriff),2012,Senate,AZ,arpaio j,1,0,0
,REP,Jan Brewer,Arizona governor,2012,Senate,AZ,brewer j,3,0,0
,REP,Trent Franks,U.S. representative,2012,Senate,AZ,franks t,4,1,0
,REP,J. D. Hayworth,former U.S. representative,2012,Senate,AZ,hayworth j,4,1,0
,REP,Jon Kyl,incumbent U.S. senator,2012,Senate,AZ,kyl j,4,0,0
,REP,Sarah Palin,former governor of Alaska (2006–2009) and nominee for vice president of the United States in 2008,2012,Senate,AZ,palin s,3,0,1
,REP,Ben Quayle,U.S. representative,2012,Senate,AZ,quayle b,4,1,0
,REP,David Schweikert,U.S. representative,2012,Senate,AZ,schweikert d,4,1,0
,REP,John Shadegg,former U.S. representative,2012,Senate,AZ,shadegg j,4,1,0
,REP,Fife Symington III,former Arizona governor,2012,Senate,AZ,symington f,3,0,0
,DEM,Richard Carmona,former Surgeon General of the United States,2012,Senate,AZ,carmona r,0,0,0
,DEM,Don Bivens,former chairman of the Arizona Democratic Party,2012,Senate,AZ,bivens d,0,0,0
,DEM,David Ruben,physician,2012,Senate,AZ,ruben d,0,0,0
,DEM,Dennis Burke,United States attorney,2012,Senate,AZ,burke d,0,0,0
,DEM,Gabby Giffords,former U.S. representative,2012,Senate,AZ,giffords g,4,1,0
,DEM,Phil Gordon,mayor of Phoenix,2012,Senate,AZ,gordon p,1,0,0
,DEM,Mark Kelly,astronaut and husband of Gabrielle Giffords (later elected to Arizona's Class 3 Senate seat in 2020) .,2012,Senate,AZ,kelly m,0,0,0
,DEM,Janet Napolitano,U.S. secretary of Homeland Security and former Arizona governor,2012,Senate,AZ,napolitano j,4,0,0
,DEM,Ed Pastor,U.S. representative,2012,Senate,AZ,pastor e,4,1,0
,DEM,Jim Pederson,former Arizona Democratic Party chairman and 2006 Democratic nominee for U.S. Senate,2012,Senate,AZ,pederson j,0,0,1
,DEM,Warren Stewart,civil rights leader,2012,Senate,AZ,stewart w,0,0,0
,DEM,Susan Bysiewicz,former Connecticut Secretary of State,2012,Senate,CT,bysiewicz s,3,0,0
,DEM,Chris Murphy,U.S. Representative,2012,Senate,CT,murphy c,4,1,0
,DEM,Sylvester Salcedo,attorney,2012,Senate,CT,salcedo s,0,0,0
,DEM,AIPAC,activist and software engineer,2012,Senate,CT,aipac,0,0,0
,DEM,Matthew Oakes,activist (endorsed Murphy),2012,Senate,CT,oakes m,0,0,0
,DEM,William Tong,State Representative (running for re-election; endorsed Murphy),2012,Senate,CT,tong w,2,1,0
,REP,Brian Hill,attorney,2012,Senate,CT,hill b,0,0,0
,REP,Peter Lumaj,attorney,2012,Senate,CT,lumaj p,0,0,0
,REP,Linda McMahon,businesswoman and nominee for the U.S. Senate in 2010,2012,Senate,CT,mcmahon l,0,0,1
,REP,Chris Shays,former U.S. Representative,2012,Senate,CT,shays c,4,1,0
,REP,Kie Westby,attorney,2012,Senate,CT,westby k,0,0,0
,REP,John Ratzenberger,actor,2012,Senate,CT,ratzenberger j,0,0,0
,DEM,Tom Carper,incumbent U.S. senator,2012,Senate,DE,carper t,4,0,0
,DEM,Bill Nelson,incumbent U.S. senator,2012,Senate,FL,nelson b,4,0,0
,REP,Connie Mack IV,U.S. representative from Fort Myers,2012,Senate,FL,mack c,4,1,0
,REP,Marielena Stuart,conservative activist and journalist,2012,Senate,FL,stuart m,0,0,0
,REP,Dave Weldon,former U.S. representative from Indialantic,2012,Senate,FL,weldon d,4,1,0
,REP,Alexander George,"businessman, political activist and minister",2012,Senate,FL,george a,0,0,0
,REP,Mike Haridopolos,president of the Florida Senate,2012,Senate,FL,haridopolos m,0,0,0
,REP,Adam Hasner,former Florida House of Representatives majority leader  (running for U.S. House of Representatives),2012,Senate,FL,hasner a,0,1,0
,REP,George LeMieux,former U.S. senator,2012,Senate,FL,lemieux g,4,0,0
,REP,Craig Miller,former CEO of Ruth's Chris Steak House and unsuccessful 2010 candidate for the U.S. House of Representatives (running for U.S. House of Representatives),2012,Senate,FL,miller c,0,1,1
,REP,Ron Rushing,businessman (running for state senate),2012,Senate,FL,rushing r,2,0,0
,REP,Jeff Atwater,chief financial officer of Florida,2012,Senate,FL,atwater j,0,0,0
,REP,Allan Bense,former Speaker of the Florida House of Representatives,2012,Senate,FL,bense a,2,1,0
,REP,Vern Buchanan,U.S. representative,2012,Senate,FL,buchanan v,4,1,0
,REP,Jeb Bush,former Florida governor,2012,Senate,FL,bush j,3,0,0
,REP,Dean Cannon,Speaker of the Florida House of Representatives,2012,Senate,FL,cannon d,2,1,0
,REP,Nicholas M. Loeb,businessman,2012,Senate,FL,loeb n,0,0,0
,REP,Tom Rooney,U.S. representative,2012,Senate,FL,rooney t,4,1,0
,REP,Chris Ruddy,founder and CEO of Newsmax,2012,Senate,FL,ruddy c,0,0,0
,REP,Allen West,U.S. representative,2012,Senate,FL,west a,4,1,0
,DEM,Ed Case,former U.S. representative,2012,Senate,HI,case e,4,1,0
,DEM,Mazie Hirono,U.S. representative and 2002 nominee for governor,2012,Senate,HI,hirono m,4,1,1
,DEM,Daniel Akaka,incumbent U.S. Senator,2012,Senate,HI,akaka d,4,0,0
,DEM,Tammy Duckworth,Assistant Secretary of Public/Intergovernmental Affairs (ran for Congress in Illinois),2012,Senate,HI,duckworth t,0,0,0
,DEM,Colleen Hanabusa,U.S. Representative,2012,Senate,HI,hanabusa c,4,1,0
,DEM,Mufi Hannemann,former mayor of Honolulu (ran for Congress),2012,Senate,HI,hannemann m,1,0,0
,REP,John Carroll,"former state senator, former state representative and perennial candidate",2012,Senate,HI,carroll j,2,1,0
,REP,Linda Lingle,former governor,2012,Senate,HI,lingle l,3,0,0
,REP,Eddie Pirkowski,businessman and perennial candidate,2012,Senate,HI,pirkowski e,0,0,0
,REP,Duke Aiona,former lieutenant governor,2012,Senate,HI,aiona d,3,0,0
,REP,Charles Djou,former U.S. representative (running for U.S. House),2012,Senate,HI,djou c,4,1,0
,REP,Richard Lugar,incumbent U.S. senator,2012,Senate,IN,lugar r,4,0,0
,REP,Richard Mourdock,state treasurer,2012,Senate,IN,mourdock r,3,0,0
,REP,Mike Delph,state senator,2012,Senate,IN,delph m,2,0,0
,REP,Bob Thomas,auto dealer,2012,Senate,IN,thomas b,0,0,0
,DEM,Joe Donnelly,U.S. Representative from Indiana's 2nd congressional district,2012,Senate,IN,donnelly j,4,1,0
,DEM,Brad Ellsworth,former U.S. Representative from Indiana's 8th congressional district and nominee for the U.S. Senate in 2010,2012,Senate,IN,ellsworth b,4,1,1
,DEM,Baron Hill,former U.S. Representative from Indiana's 9th congressional district,2012,Senate,IN,hill b,4,1,0
,REP,Scott Brown,incumbent U.S. senator,2012,Senate,MA,brown s,4,0,0
,DEM,Elizabeth Warren,Harvard Law School professor and architect of the Consumer Financial Protection Bureau,2012,Senate,MA,warren e,0,0,0
,DEM,Marisa DeFranco,immigration lawyer,2012,Senate,MA,defranco m,0,0,0
,DEM,Tom Conroy,"state representative (withdrew December 12, 2011)",2012,Senate,MA,conroy t,2,1,0
,DEM,Alan Khazei,"founder of City Year (withdrew October 26, 2011)",2012,Senate,MA,khazei a,0,0,0
,DEM,James Coyne King,"corporate lawyer (withdrew March 21, 2012)",2012,Senate,MA,king j,0,0,0
,DEM,Bob Massie,"entrepreneur and nominee for Lieutenant Governor of Massachusetts in 1994 (withdrew October 7, 2011)",2012,Senate,MA,massie b,0,0,1
,DEM,Herb Robinson,"engineer (withdrew December 15, 2011)",2012,Senate,MA,robinson h,0,0,0
,DEM,Setti Warren,"mayor of Newton (withdrew September 29, 2011; endorsed E. Warren, no relation)",2012,Senate,MA,warren s,1,0,0
,DEM,Mike Capuano,U.S. Representative,2012,Senate,MA,capuano m,4,1,0
,DEM,Kim Driscoll,mayor of Salem,2012,Senate,MA,driscoll k,1,0,0
,DEM,Barney Frank,U.S. Representative,2012,Senate,MA,frank b,4,1,0
,DEM,Joseph P. Kennedy II,former U.S. Representative,2012,Senate,MA,kennedy j,4,1,0
,DEM,Victoria Reggie Kennedy,Ted Kennedy 's widow,2012,Senate,MA,kennedy v,0,0,0
,DEM,Stephen Lynch,U.S. Representative,2012,Senate,MA,lynch s,4,1,0
,DEM,Rachel Maddow,television host and political commentator,2012,Senate,MA,maddow r,0,0,0
,DEM,Marty Meehan,former U.S. Representative,2012,Senate,MA,meehan m,4,1,0
,DEM,Thomas Menino,mayor of Boston,2012,Senate,MA,menino t,1,0,0
,DEM,Deval Patrick,Governor of Massachusetts,2012,Senate,MA,patrick d,3,0,0
,DEM,John F. Tierney,U.S. Representative,2012,Senate,MA,tierney j,4,1,0
,DEM,Warren Tolman,former state senator and former state representative,2012,Senate,MA,tolman w,2,1,0
,DEM,Ben Cardin,incumbent U.S. Senator,2012,Senate,MD,cardin b,4,0,0
,DEM,Christopher Garner,engineer and businessman,2012,Senate,MD,garner c,0,0,0
,DEM,Ralph Jaffe,former political science teacher,2012,Senate,MD,jaffe r,0,0,0
,DEM,C. Anthony Muse,State Senator,2012,Senate,MD,muse c,2,0,0
,DEM,Lih Young,perennial candidate,2012,Senate,MD,young l,0,0,0
,REP,Dan Bongino,former United States Secret Service agent,2012,Senate,MD,bongino d,0,0,0
,REP,John B. Kimble,behavioral scientist and perennial candidate,2012,Senate,MD,kimble j,0,0,0
,REP,Brian Vaeth,retired firefighter,2012,Senate,MD,vaeth b,0,0,0
,REP,Corrogan R. Vaughn,perennial candidate,2012,Senate,MD,vaughn c,0,0,0
,REP,Bob Ehrlich,former Governor of Maryland  and nominee for Governor in 2010,2012,Senate,MD,ehrlich b,3,0,1
,REP,Rick Bennett,former President of the Maine Senate,2012,Senate,ME,bennett r,0,0,0
,REP,Lisbon Falls,Selectman,2012,Senate,ME,falls l,1,0,0
,REP,Deborah Plowman,state senator,2012,Senate,ME,plowman d,2,0,0
,REP,Bruce Poliquin,Maine State Treasurer,2012,Senate,ME,poliquin b,3,0,0
,REP,William Schneider,Maine Attorney General,2012,Senate,ME,schneider w,3,0,0
,REP,Charlie Summers,Maine Secretary of State,2012,Senate,ME,summers c,3,0,0
,REP,Andrew Ian Dodge,conservative activist (ran as an independent),2012,Senate,ME,dodge a,0,0,0
,REP,Olympia Snowe,incumbent U.S. senator,2012,Senate,ME,snowe o,4,0,0
,REP,Steve Abbott,athletic director at the University of Maine and candidate for governor in 2010,2012,Senate,ME,abbott s,0,0,1
,REP,Peter Cianchette,former United States Ambassador to Costa Rica and nominee for governor in 2002,2012,Senate,ME,cianchette p,0,0,1
,REP,William Cohen,former United States Secretary of Defense (1997–2001) and former U.S. Senator (1979–1997),2012,Senate,ME,cohen w,4,0,0
,REP,Peter Mills,"executive director of the Maine Turnpike Authority , former state senator and candidate for Governor of Maine in 2002 and 2006",2012,Senate,ME,mills p,2,0,1
,REP,Kevin Raye,President of the Maine Senate ( ran for U.S. House ),2012,Senate,ME,raye k,0,0,0
,DEM,Cynthia Dill,state senator,2012,Senate,ME,dill c,2,0,0
,DEM,Matthew Dunlap,former Maine Secretary of State,2012,Senate,ME,dunlap m,3,0,0
,DEM,Jon Hinck,state representative,2012,Senate,ME,hinck j,2,1,0
,DEM,Benjamin Pollard,homebuilder,2012,Senate,ME,pollard b,0,0,0
,DEM,John Baldacci,former governor of Maine and former U.S. representative from Maine's 2nd congressional district,2012,Senate,ME,baldacci j,4,1,0
,DEM,Emily Cain,minority leader of the Maine House of Representatives,2012,Senate,ME,cain e,0,1,0
,DEM,Mike Michaud,U.S. representative from Maine's 2nd congressional district ( ran for re-election ),2012,Senate,ME,michaud m,4,1,0
,DEM,Chellie Pingree,U.S. representative from Maine's 1st congressional district and nominee for the U.S. Senate in 2002 ( ran for re-election ),2012,Senate,ME,pingree c,4,1,1
,REP,Clark Durant,co-founder of the Cornerstone Schools,2012,Senate,MI,durant c,0,0,0
,REP,Gary Glenn,conservative activist  (suspended his campaign and endorsed Clark Durant  ),2012,Senate,MI,glenn g,0,0,0
,REP,Randy Hekman,former juvenile court judge,2012,Senate,MI,hekman r,1,0,0
,REP,Pete Hoekstra,former U.S. representative,2012,Senate,MI,hoekstra p,4,1,0
,REP,Peter Konetchy,businessman,2012,Senate,MI,konetchy p,0,0,0
,REP,Chuck Marino,businessman,2012,Senate,MI,marino c,0,0,0
,REP,Justin Amash,U.S. Representative,2012,Senate,MI,amash j,4,1,0
,REP,Saul Anuzis,former Michigan Republican Party chairman,2012,Senate,MI,anuzis s,0,0,0
,REP,Frank Beckmann,talk show host,2012,Senate,MI,beckmann f,0,0,0
,REP,Mike Bishop,former State Senate Majority Leader,2012,Senate,MI,bishop m,2,0,0
,REP,Jase Bolger,Speaker of the Michigan House of Representatives,2012,Senate,MI,bolger j,2,1,0
,REP,Mike Cox,former Michigan attorney general,2012,Senate,MI,cox m,3,0,0
,REP,Chad Dewey,businessman,2012,Senate,MI,dewey c,0,0,0
