date,value,metric
1995-11-01,6.26,generic_ballot
1995-12-01,7.07,generic_ballot
1996-01-01,4.49,generic_ballot
1996-02-01,3.9,generic_ballot
1996-03-01,4.4,generic_ballot
1996-04-01,7.33,generic_ballot
1996-05-01,8.91,generic_ballot
1996-06-01,8.55,generic_ballot
1996-07-01,7.62,generic_ballot
1996-08-01,3.47,generic_ballot
1996-09-01,3.49,generic_ballot
1996-10-01,5.59,generic_ballot
1996-11-01,5.22,generic_ballot
1996-12-01,5.11,generic_ballot
1997-01-01,5.11,generic_ballot
1997-02-01,5.11,generic_ballot
1997-03-01,5.11,generic_ballot
1997-04-01,5.11,generic_ballot
1997-05-01,5.11,generic_ballot
1997-06-01,5.11,generic_ballot
1997-07-01,5.1,generic_ballot
1997-08-01,4.6,generic_ballot
1997-09-01,6.52,generic_ballot
1997-10-01,6.11,generic_ballot
1997-11-01,4.33,generic_ballot
1997-12-01,3.96,generic_ballot
1998-01-01,4.21,generic_ballot
1998-02-01,4.4,generic_ballot
1998-03-01,4.09,generic_ballot
1998-04-01,4.93,generic_ballot
1998-05-01,3.7,generic_ballot
1998-06-01,2.54,generic_ballot
1998-07-01,2.23,generic_ballot
1998-08-01,1.94,generic_ballot
1998-09-01,1.66,generic_ballot
1998-10-01,1.41,generic_ballot
1998-11-01,-0.44,generic_ballot
1998-12-01,-0.53,generic_ballot
1999-01-01,-0.45,generic_ballot
1999-02-01,4.21,generic_ballot
1999-03-01,5.86,generic_ballot
1999-04-01,5.83,generic_ballot
1999-05-01,5.5,generic_ballot
1999-06-01,4.92,generic_ballot
1999-07-01,3.35,generic_ballot
1999-08-01,1.88,generic_ballot
1999-09-01,1.03,generic_ballot
1999-10-01,2.12,generic_ballot
1999-11-01,2.91,generic_ballot
1999-12-01,2.6,generic_ballot
2000-01-01,2.19,generic_ballot
2000-02-01,2.09,generic_ballot
2000-03-01,1.83,generic_ballot
2000-04-01,1.27,generic_ballot
2000-05-01,1.39,generic_ballot
2000-06-01,1.26,generic_ballot
2000-07-01,0.91,generic_ballot
2000-08-01,1.2,generic_ballot
2000-09-01,2.65,generic_ballot
2000-10-01,1.98,generic_ballot
2000-11-01,3.39,generic_ballot
2000-12-01,3.65,generic_ballot
2001-01-01,3.65,generic_ballot
2001-02-01,3.65,generic_ballot
2001-03-01,3.65,generic_ballot
2001-04-01,3.65,generic_ballot
2001-05-01,3.65,generic_ballot
2001-06-01,3.65,generic_ballot
2001-07-01,3.65,generic_ballot
2001-08-01,3.65,generic_ballot
2001-09-01,3.65,generic_ballot
2001-10-01,3.65,generic_ballot
2001-11-01,3.65,generic_ballot
2001-12-01,3.65,generic_ballot
2002-01-01,0.75,generic_ballot
2002-02-01,-0.16,generic_ballot
2002-03-01,-0.11,generic_ballot
2002-04-01,1.22,generic_ballot
2002-05-01,1.85,generic_ballot
2002-06-01,1.95,generic_ballot
2002-07-01,1.75,generic_ballot
2002-08-01,2.42,generic_ballot
2002-09-01,0.52,generic_ballot
2002-10-01,1.76,generic_ballot
2002-11-01,-0.34,generic_ballot
2002-12-01,-0.56,generic_ballot
2003-01-01,-0.56,generic_ballot
2003-02-01,-0.56,generic_ballot
2003-03-01,-0.56,generic_ballot
2003-04-01,-0.56,generic_ballot
2003-05-01,-0.56,generic_ballot
2003-06-01,-0.56,generic_ballot
2003-07-01,-0.56,generic_ballot
2003-08-01,-0.56,generic_ballot
2003-09-01,-0.56,generic_ballot
2003-10-01,-0.56,generic_ballot
2003-11-01,-0.56,generic_ballot
2003-12-01,-0.56,generic_ballot
2004-01-01,-0.69,generic_ballot
2004-02-01,1.18,generic_ballot
2004-03-01,2.94,generic_ballot
2004-04-01,4.87,generic_ballot
2004-05-01,5.89,generic_ballot
2004-06-01,8.54,generic_ballot
2004-07-01,7.92,generic_ballot
2004-08-01,6.9,generic_ballot
2004-09-01,3.36,generic_ballot
2004-10-01,2.9,generic_ballot
2004-11-01,0.98,generic_ballot
2004-12-01,1.72,generic_ballot
2005-01-01,3.23,generic_ballot
2005-02-01,3.77,generic_ballot
2005-03-01,3.9,generic_ballot
2005-04-01,3.96,generic_ballot
2005-05-01,4.62,generic_ballot
2005-06-01,4.86,generic_ballot
2005-07-01,5.35,generic_ballot
2005-08-01,5.72,generic_ballot
2005-09-01,7.82,generic_ballot
2005-10-01,8.52,generic_ballot
2005-11-01,9.72,generic_ballot
2005-12-01,10.14,generic_ballot
2006-01-01,9.89,generic_ballot
2006-02-01,9.8,generic_ballot
2006-03-01,10.97,generic_ballot
2006-04-01,10.89,generic_ballot
2006-05-01,11.12,generic_ballot
2006-06-01,11.88,generic_ballot
2006-07-01,11.45,generic_ballot
2006-08-01,11.27,generic_ballot
2006-09-01,10.16,generic_ballot
2006-10-01,12.46,generic_ballot
2006-11-01,13.93,generic_ballot
2006-12-01,13.74,generic_ballot
2007-01-01,13.74,generic_ballot
2007-02-01,13.74,generic_ballot
2007-03-01,13.74,generic_ballot
2007-04-01,13.74,generic_ballot
2007-05-01,13.74,generic_ballot
2007-06-01,13.48,generic_ballot
2007-07-01,11.34,generic_ballot
2007-08-01,10.09,generic_ballot
2007-09-01,11.53,generic_ballot
2007-10-01,11.69,generic_ballot
2007-11-01,10.74,generic_ballot
2007-12-01,10.32,generic_ballot
2008-01-01,10.18,generic_ballot
2008-02-01,9.98,generic_ballot
2008-03-01,10.09,generic_ballot
2008-04-01,10.78,generic_ballot
2008-05-01,11.63,generic_ballot
2008-06-01,11.77,generic_ballot
2008-07-01,11.82,generic_ballot
2008-08-01,11.53,generic_ballot
2008-09-01,7.75,generic_ballot
2008-10-01,9.11,generic_ballot
2008-11-01,8.68,generic_ballot
2008-12-01,8.71,generic_ballot
2009-01-01,10.19,generic_ballot
2009-02-01,11.67,generic_ballot
2009-03-01,7.69,generic_ballot
2009-04-01,5.49,generic_ballot
2009-05-01,5.1,generic_ballot
2009-06-01,6.52,generic_ballot
2009-07-01,5.78,generic_ballot
2009-08-01,3.62,generic_ballot
2009-09-01,2.88,generic_ballot
2009-10-01,3.83,generic_ballot
2009-11-01,3.22,generic_ballot
2009-12-01,1.15,generic_ballot
2010-01-01,-0.82,generic_ballot
2010-02-01,-1.43,generic_ballot
2010-03-01,-1.07,generic_ballot
2010-04-01,-1.65,generic_ballot
2010-05-01,-0.53,generic_ballot
2010-06-01,0.29,generic_ballot
2010-07-01,-1.62,generic_ballot
2010-08-01,-3.99,generic_ballot
2010-09-01,-3.86,generic_ballot
2010-10-01,-3.54,generic_ballot
2010-11-01,-6.26,generic_ballot
2010-12-01,-5.46,generic_ballot
2011-01-01,-4.91,generic_ballot
2011-02-01,-2.99,generic_ballot
2011-03-01,-1.9,generic_ballot
2011-04-01,-1.4,generic_ballot
2011-05-01,0.74,generic_ballot
2011-06-01,0.76,generic_ballot
2011-07-01,-0.1,generic_ballot
2011-08-01,1.45,generic_ballot
2011-09-01,1.64,generic_ballot
2011-10-01,1.8,generic_ballot
2011-11-01,2.79,generic_ballot
2011-12-01,2.73,generic_ballot
2012-01-01,2.25,generic_ballot
2012-02-01,1.95,generic_ballot
2012-03-01,1.03,generic_ballot
2012-04-01,0.35,generic_ballot
2012-05-01,0.65,generic_ballot
