cycle,state,cand_name,party,incumbency,status,receipts
1998,CA,"DAVIS, GRAY",Democratic,Open,Won-General,35084200.0
1998,CA,"CHECCHI, ALFRED A",Democratic,Open,Lost-Primary,35027990.0
1998,CA,"LUNGREN, DANIEL E",Republican,Open,Lost-General,29091427.0
1998,TX,"BUSH, GEORGE W",Republican,Incumbent,Won-General,25035859.35
1998,NY,"PATAKI, GEORGE E",Republican,Incumbent,Won-General,24556115.0
1998,CA,"HARMAN, JANE",Democratic,Open,Lost-Primary,20517853.0
1998,IL,"RYAN, GEORGE H",Republican,Open,Won-General,18878113.63
1998,GA,"MILLNER, GUY WESLEY",Republican,Open,Lost-General,12557618.42
1998,OH,"FISHER, LEE",Democratic,Open,Lost-General,11988480.69
1998,OH,"TAFT, ROBERT",Republican,Open,Won-General,11886325.25
1998,GA,"BARNES, ROY EUGENE",Democratic,Open,Won-General,11046890.02
1998,FL,"BUSH, JOHN ELLIS (JEB)",Republican,Open,Won-General,8891016.98
1998,MD,"GLENDENING, PARRIS N",Democratic,Incumbent,Won-General,7371857.03
1998,WI,"THOMPSON, TOMMY G",Republican,Incumbent,Won-General,6941059.37
1998,AL,"JAMES JR, FOB",Republican,Incumbent,Lost-General,6831113.63
1998,FL,"MACKAY, BUDDY",Democratic,Open,Lost-General,6541061.28
1998,MD,"SAUERBREY, ELLEN R",Republican,Challenger,Lost-General,6353911.35
1998,AL,"SIEGELMAN, DON",Democratic,Challenger,Won-General,6150477.91
1998,NV,"GUINN, KENNY",Republican,Unknown,Won-General,6102129.87
1998,IL,"SCHMIDT, JOHN R",Democratic,Open,Lost-Primary,6029212.0
1998,CT,"ROWLAND, JOHN G",Republican,Incumbent,Won-General,6028370.0
1998,AL,"BLOUNT, WINTON M",Republican,Challenger,Lost-Primary,5794626.59
1998,MI,"FIEGER, GEOFFREY N",Democratic,Challenger,Lost-General,5754906.0
1998,MA,"CELLUCCI, A PAUL",Republican,Open,Won-General,5429472.0
1998,TN,"SUNDQUIST, DONALD (DON)",Republican,Incumbent,Won-General,5405308.45
1998,IL,"POSHARD, GLENN W",Democratic,Open,Lost-General,5024768.4
1998,HI,"CAYETANO, BENJAMIN",Democratic,Incumbent,Won-General,4852768.96
1998,SC,"BEASLEY, DAVID",Republican,Incumbent,Lost-General,4850415.13
1998,MI,"ENGLER, JOHN M",Republican,Incumbent,Won-General,4612521.05
1998,SC,"HODGES, JIM",Democratic,Challenger,Won-General,4580488.53
1998,MA,"HARSHBARGER, SCOTT",Democratic,Open,Lost-General,3840035.0
1998,HI,"LINGLE, LINDA",Republican,Challenger,Lost-General,3562254.75
1998,TX,"MAURO, GARRY",Democratic,Challenger,Lost-General,3485205.25
1998,MA,"MALONE, JOSEPH",Republican,Open,Lost-Primary,2954316.0
1998,IA,"LIGHTFOOT, JAMES",Republican,Open,Lost-General,2950739.0
