race_id,party,candidate,votes,pct,table_seq,is_winner,cand_key
1998_ID_House-1_DEM,DEM,Dan Williams,16338,99.98,2,True,williams d
1998_ID_House-1_DEM,DEM,Leif Skyving,4,0.02,2,False,skyving l
1998_ID_House-1_REP,REP,Helen Chenoweth,43941,71.02,1,True,chenoweth h
1998_ID_House-1_REP,REP,Jim Pratt,17926,28.98,1,False,pratt j
1998_ID_House-2_DEM,DEM,Richard H. Stallings,11062,100.0,4,True,stallings r
1998_ID_House-2_REP,REP,Mike Simpson,26620,40.39,3,True,simpson m
1998_ID_House-2_REP,REP,Mark Stubbs,23336,35.41,3,False,stubbs m
1998_ID_House-2_REP,REP,Dane Watkins,9100,13.81,3,False,watkins d
1998_ID_House-2_REP,REP,Ann Rydalch,6844,10.39,3,False,rydalch a
1998_NE_House-1_DEM,DEM,Don Eret,30220,98.97,2,True,eret d
1998_NE_House-1_DEM,DEM,Write-ins,313,1.03,2,False,writeins
1998_NE_House-1_REP,REP,Doug Bereuter,66033,99.31,1,True,bereuter d
1998_NE_House-1_REP,REP,Write-ins,460,0.69,1,False,writeins
1998_NE_House-2_DEM,DEM,Michael Scott,21482,64.35,4,True,scott m
1998_NE_House-2_DEM,DEM,John C. McCourt,5263,15.77,4,False,mccourt j
1998_NE_House-2_DEM,DEM,Jess M. Pritchett,5126,15.36,4,False,pritchett j
1998_NE_House-2_DEM,DEM,Melvin Muhammad,1126,3.37,4,False,muhammad m
1998_NE_House-2_DEM,DEM,Write-ins,386,1.16,4,False,writeins
1998_NE_House-2_REP,REP,Lee Terry,23769,40.16,3,True,terry l
1998_NE_House-2_REP,REP,Steve Kupka,17673,29.86,3,False,kupka s
1998_NE_House-2_REP,REP,Brad Kuiper,15569,26.3,3,False,kuiper b
1998_NE_House-2_REP,REP,Pat Jones,1585,2.68,3,False,jones p
1998_NE_House-2_REP,REP,Steven C. Laird,532,0.9,3,False,laird s
1998_NE_House-2_REP,REP,Write-ins,64,0.11,3,False,writeins
1998_NE_House-3_REP,REP,Bill Barrett,81850,99.62,5,True,barrett b
1998_NE_House-3_REP,REP,Write-ins,316,0.38,5,False,writeins
1998_NJ_House-10_DEM,DEM,Donald M. Payne,24747,91.65,18,True,payne d
1998_NJ_House-10_DEM,DEM,Dennis Speed,2254,8.35,18,False,speed d
1998_NJ_House-10_REP,REP,William Stanley Wnuck,1431,100.0,19,True,wnuck w
1998_NJ_House-11_DEM,DEM,John P. Scollo,4346,66.65,21,True,scollo j
1998_NJ_House-11_DEM,DEM,James D. Kelly Jr.,900,13.8,21,False,kelly j
1998_NJ_House-11_DEM,DEM,Frank C. Marmo,853,13.08,21,False,marmo f
1998_NJ_House-11_DEM,DEM,John Mele,422,6.47,21,False,mele j
1998_NJ_House-11_REP,REP,incumbent,26174,100.0,20,True,incumbent
1998_NJ_House-12_DEM,DEM,Rush Holt,10177,63.58,23,True,holt r
1998_NJ_House-12_DEM,DEM,Carl J. Mayer,5830,36.42,23,False,mayer c
1998_NJ_House-12_REP,REP,Mike Pappas,16277,100.0,22,True,pappas m
1998_NJ_House-13_DEM,DEM,incumbent,25067,100.0,24,True,incumbent
1998_NJ_House-13_REP,REP,Theresa de Leon,2748,68.99,25,True,leon t
1998_NJ_House-13_REP,REP,Carlos E. Munoz,1235,31.01,25,False,munoz c
1998_NJ_House-1_DEM,DEM,incumbent,15083,100.0,1,True,incumbent
1998_NJ_House-1_REP,REP,Ronald L. Richards,4423,100.0,2,True,richards r
1998_NJ_House-2_DEM,DEM,Derek Hunsberger,5102,100.0,4,True,hunsberger d
1998_NJ_House-2_REP,REP,incumbent,16384,100.0,3,True,incumbent
1998_NJ_House-3_REP,REP,incumbent,12254,100.0,5,True,incumbent
1998_NJ_House-4_DEM,DEM,Larry Schneider,6238,78.33,7,True,schneider l
1998_NJ_House-4_DEM,DEM,Paul Rizzo,1099,13.8,7,False,rizzo p
1998_NJ_House-4_DEM,DEM,Lewis duPont Smith,316,3.97,7,False,smith l
1998_NJ_House-4_DEM,DEM,Paul D. Teel,311,3.91,7,False,teel p
1998_NJ_House-4_REP,REP,incumbent,20062,100.0,6,True,incumbent
1998_NJ_House-5_DEM,DEM,Mike Schneider,5605,100.0,9,True,schneider m
1998_NJ_House-5_REP,REP,Marge Roukema,16215,52.8,8,True,roukema m
1998_NJ_House-5_REP,REP,Scott Garrett,14498,47.2,8,False,garrett s
1998_NJ_House-6_DEM,DEM,incumbent,24475,100.0,10,True,incumbent
1998_NJ_House-6_REP,REP,Mike Ferguson,4905,100.0,11,True,ferguson m
1998_NJ_House-7_DEM,DEM,Maryanne Connelly,7151,100.0,13,True,connelly m
1998_NJ_House-7_REP,REP,Bob Franks,8955,100.0,12,True,franks b
1998_NJ_House-8_DEM,DEM,incumbent,10167,100.0,14,True,incumbent
1998_NJ_House-8_REP,REP,Matthew J. Kirnan,6871,100.0,15,True,kirnan m
1998_NJ_House-9_DEM,DEM,incumbent,14364,100.0,16,True,incumbent
1998_NJ_House-9_REP,REP,Steve Lonegan,7162,100.0,17,True,lonegan s
1998_PA_House-10_DEM,DEM,Patrick Casey,26882,100.0,18,True,casey p
1998_PA_House-10_REP,REP,Don Sherwood,21252,43.71,19,True,sherwood d
1998_PA_House-10_REP,REP,James P. Connors,11554,23.76,19,False,connors j
1998_PA_House-10_REP,REP,Errol Flynn,7714,15.87,19,False,flynn e
1998_PA_House-10_REP,REP,Jerry Donahue,4797,9.87,19,False,donahue j
1998_PA_House-10_REP,REP,Mary Rogan,1212,2.49,19,False,rogan m
1998_PA_House-10_REP,REP,Frank Demko,1080,2.22,19,False,demko f
1998_PA_House-10_REP,REP,Norbert R. Kosciuk,616,1.27,19,False,kosciuk n
1998_PA_House-10_REP,REP,Joe Albert,393,0.81,19,False,albert j
1998_PA_House-11_DEM,DEM,Paul Kanjorski,27452,100.0,20,True,kanjorski p
1998_PA_House-11_REP,REP,Stephen Urban,16069,100.0,21,True,urban s
1998_PA_House-12_DEM,DEM,John Murtha,31039,100.0,22,True,murtha j
1998_PA_House-12_REP,REP,Timothy E. Holloway,18829,100.0,23,True,holloway t
1998_PA_House-13_DEM,DEM,Joe Hoeffel,12516,100.0,24,True,hoeffel j
1998_PA_House-13_REP,REP,Jon D. Fox,24383,49.31,25,True,fox j
1998_PA_House-13_REP,REP,Michael J. McMonagle,10621,21.48,25,False,mcmonagle m
1998_PA_House-13_REP,REP,Melissa Brown,8860,17.92,25,False,brown m
1998_PA_House-13_REP,REP,Jonathan Newman,5582,11.29,25,False,newman j
1998_PA_House-14_DEM,DEM,William J. Coyne,56537,100.0,26,True,coyne w
1998_PA_House-14_REP,REP,Bill Ravotti,17860,100.0,27,True,ravotti b
1998_PA_House-15_DEM,DEM,Roy Afflerbach,14466,62.74,28,True,afflerbach r
1998_PA_House-15_DEM,DEM,Janice McElroy,8590,37.26,28,False,mcelroy j
1998_PA_House-15_REP,REP,Pat Toomey,7981,27.13,29,True,toomey p
1998_PA_House-15_REP,REP,Bob Kilbanks,7266,24.7,29,False,kilbanks b
1998_PA_House-15_REP,REP,Joseph Uliana,6912,23.49,29,False,uliana j
1998_PA_House-15_REP,REP,Joe Pascuzzo,3518,11.96,29,False,pascuzzo j
1998_PA_House-15_REP,REP,Nick Sabatine,3219,10.94,29,False,sabatine n
1998_PA_House-15_REP,REP,Lawrence M. Grello,525,1.78,29,False,grello l
1998_PA_House-16_REP,REP,Joe Pitts,22529,100.0,30,True,pitts j
1998_PA_House-17_REP,REP,George Gekas,37787,100.0,31,True,gekas g
1998_PA_House-18_DEM,DEM,Mike Doyle,42288,65.1,32,True,doyle m
1998_PA_House-18_DEM,DEM,Mary Beth Hacke,22672,34.9,32,False,hacke m
1998_PA_House-18_REP,REP,Dick Walker,14426,52.79,33,True,walker d
1998_PA_House-18_REP,REP,Craig Stephens,12901,47.21,33,False,stephens c
1998_PA_House-19_DEM,DEM,Linda G. Ropp,14556,100.0,34,True,ropp l
1998_PA_House-19_REP,REP,Bill Goodling,36054,67.64,35,True,goodling b
1998_PA_House-19_REP,REP,Charlie Gerow,17247,32.36,35,False,gerow c
1998_PA_House-1_DEM,DEM,Bob Brady,23181,63.89,1,True,brady b
1998_PA_House-1_DEM,DEM,Andrew Carn,8061,22.22,1,False,carn a
1998_PA_House-1_DEM,DEM,Dennis Morrison-Wesley,4052,11.17,1,False,morrisonwesley d
1998_PA_House-1_DEM,DEM,Sam Jones,986,2.72,1,False,jones s
1998_PA_House-1_REP,REP,William Harrison,4768,100.0,2,True,harrison w
1998_PA_House-20_DEM,DEM,Frank Mascara,40882,100.0,36,True,mascara f
1998_PA_House-21_DEM,DEM,Larry Klemens,15888,100.0,37,True,klemens l
1998_PA_House-21_REP,REP,Phil English,21512,100.0,38,True,english p
1998_PA_House-2_DEM,DEM,Chaka Fattah,35761,100.0,3,True,fattah c
1998_PA_House-2_REP,REP,Anne Marie Mulligan,3566,100.0,4,True,mulligan a
1998_PA_House-3_DEM,DEM,Robert Borski,20989,86.93,5,True,borski r
1998_PA_House-3_DEM,DEM,John R. Kates,3157,13.07,5,False,kates j
1998_PA_House-3_REP,REP,Charles F. Dougherty,10713,100.0,6,True,dougherty c
1998_PA_House-4_DEM,DEM,Ron Klink,35652,100.0,7,True,klink r
1998_PA_House-4_REP,REP,Mike Turzai,12178,54.27,8,True,turzai m
1998_PA_House-4_REP,REP,David F. Miller,5489,24.46,8,False,miller d
1998_PA_House-4_REP,REP,Paul T. Adametz,4772,21.27,8,False,adametz p
1998_PA_House-5_REP,REP,John Peterson,28022,100.0,9,True,peterson j
1998_PA_House-6_DEM,DEM,Tim Holden,20758,100.0,10,True,holden t
1998_PA_House-6_REP,REP,John Meckley,18416,100.0,11,True,meckley j
1998_PA_House-7_DEM,DEM,Martin J. D'Urso,6536,100.0,12,True,durso m
1998_PA_House-7_REP,REP,Curt Weldon,34760,100.0,13,True,weldon c
1998_PA_House-8_DEM,DEM,Bill Tuthill,9030,100.0,14,True,tuthill b
1998_PA_House-8_REP,REP,Jim Greenwood,21347,67.44,15,True,greenwood j
1998_PA_House-8_REP,REP,Joseph P. Schiaffino,10305,32.56,15,False,schiaffino j
1998_PA_House-9_DEM,DEM,Monte Kemmler,5830,100.0,16,True,kemmler m
1998_PA_House-9_REP,REP,Bud Shuster,24768,100.0,17,True,shuster b
1998_VT_House-1_DEM,DEM,Bernie Sanders,1661,47.88,2,True,sanders b
1998_VT_House-1_DEM,DEM,Mark Candon,524,15.11,2,False,candon m
1998_VT_House-1_DEM,DEM,Other Write-ins,467,13.46,2,False,writeins o
1998_VT_House-1_DEM,DEM,Jack Long,465,13.4,2,False,long j
1998_VT_House-1_DEM,DEM,Peter Diamondstone,352,10.15,2,False,diamondstone p
1998_VT_House-1_REP,REP,Mark Candon,23101,48.43,1,True,candon m
1998_VT_House-1_REP,REP,Jack Long,15716,32.95,1,False,long j
1998_VT_House-1_REP,REP,Peter Diamondstone,8327,17.46,1,False,diamondstone p
1998_VT_House-1_REP,REP,Write-ins,552,1.16,1,False,writeins
1998_WY_House-1_DEM,DEM,Scott Farris,19706,64.33,1,True,farris s
1998_WY_House-1_DEM,DEM,John O'Steen,6131,20.02,1,False,osteen j
1998_WY_House-1_DEM,DEM,Mickey Kalinay,4795,15.65,1,False,kalinay m
1998_WY_House-1_REP,REP,Barbara Cubin,73201,100.0,2,True,cubin b
2000_AZ_House-1_REP,REP,Jeff Flake,16745,31.8,1,True,flake j
2000_AZ_House-1_REP,REP,Sal Diciccio,12490,23.7,1,False,diciccio s
2000_AZ_House-1_REP,REP,Susan Bitter Smith,11763,22.3,1,False,smith s
2000_AZ_House-1_REP,REP,Tom Liddy,10898,20.7,1,False,liddy t
2000_AZ_House-1_REP,REP,Bert Tollefson,764,1.5,1,False,tollefson b
2000_ID_House-1_DEM,DEM,Linda Pall,16657,100.0,2,True,pall l
2000_ID_House-1_REP,REP,Butch Otter,41516,47.63,1,True,otter b
2000_ID_House-1_REP,REP,Dennis Mansfield,23559,27.03,1,False,mansfield d
2000_ID_House-1_REP,REP,Ron McMurray,14434,16.56,1,False,mcmurray r
2000_ID_House-1_REP,REP,Craig Benjamin,2966,3.4,1,False,benjamin c
2000_ID_House-1_REP,REP,Jim Pratt,1281,1.47,1,False,pratt j
2000_ID_House-1_REP,REP,Gene Summa,1240,1.42,1,False,summa g
2000_ID_House-1_REP,REP,David Shepherd,1181,1.35,1,False,shepherd d
2000_ID_House-1_REP,REP,Harley Brown,983,1.13,1,False,brown h
2000_ID_House-2_DEM,DEM,Craig Williams,10771,77.27,4,True,williams c
2000_ID_House-2_DEM,DEM,Jack Wayne Chappell,3169,22.73,4,False,chappell j
2000_ID_House-2_REP,REP,Mike Simpson,60984,100.0,3,True,simpson m
2000_KY_House-1_REP,REP,Edward Whitfield,12013,83.8,1,True,whitfield e
2000_KY_House-1_REP,REP,David Lynn Williams,2317,16.2,1,False,williams d
2000_KY_House-3_DEM,DEM,Eleanor Jordan,24236,69.3,2,True,jordan e
2000_KY_House-3_DEM,DEM,Ray Abbott,5583,16.0,2,False,abbott r
2000_KY_House-3_DEM,DEM,Burrel Charles Farnsley,5138,14.7,2,False,farnsley b
2000_KY_House-4_REP,REP,Don Bell,6427,57.0,3,True,bell d
2000_KY_House-4_REP,REP,Scott Tooley,2700,24.0,3,False,tooley s
2000_KY_House-4_REP,REP,Roger Thoney,2140,19.0,3,False,thoney r
2000_KY_House-5_DEM,DEM,Sidney Jane Bailey,20726,66.2,4,True,bailey s
2000_KY_House-5_DEM,DEM,Michael Vincent Vacca Jr.,10594,33.8,4,False,vacca m
2000_KY_House-6_DEM,DEM,Scotty Baesler,38463,76.1,5,True,baesler s
2000_KY_House-6_DEM,DEM,Will L. McGinnis III,12090,23.9,5,False,mcginnis w
2000_MN_House-1_REP,REP,Gil Gutknecht,17824,100.0,1,True,gutknecht g
2000_MN_House-2_REP,REP,Mark Kennedy,13779,79.3,4,True,kennedy m
2000_MN_House-2_REP,REP,Joe Wagner,3598,20.7,4,False,wagner j
2000_MN_House-3_REP,REP,Jim Ramstad,13995,100.0,7,True,ramstad j
2000_MN_House-4_REP,REP,Linda Runbeck,10722,86.2,11,True,runbeck l
2000_MN_House-4_REP,REP,Mary Jane Reagan,1713,13.8,11,False,reagan m
2000_MN_House-5_REP,REP,Frank Taylor,4837,63.2,15,True,taylor f
2000_MN_House-5_REP,REP,Chris Flynn,2815,36.8,15,False,flynn c
2000_MN_House-6_REP,REP,John Kline,19029,100.0,19,True,kline j
2000_MN_House-7_REP,REP,Glen Menze,10258,65.4,22,True,menze g
2000_MN_House-7_REP,REP,Aleta Edin,5433,34.6,22,False,edin a
2000_MN_House-8_REP,REP,Robert Lemen,7197,50.1,25,True,lemen r
2000_MN_House-8_REP,REP,Warren Nelson,7179,49.9,25,False,nelson w
2000_NE_House-1_DEM,DEM,Alan Jacobsen,25940,99.02,2,True,jacobsen a
2000_NE_House-1_DEM,DEM,Write-ins,256,0.98,2,False,writeins
2000_NE_House-1_REP,REP,Doug Bereuter,50365,98.99,1,True,bereuter d
2000_NE_House-1_REP,REP,Write-ins,516,1.01,1,False,writeins
2000_NE_House-2_DEM,DEM,Shelley Kiel,30578,69.61,5,True,kiel s
2000_NE_House-2_DEM,DEM,Allen C. Johnson,13092,29.8,5,False,johnson a
2000_NE_House-2_DEM,DEM,Write-ins,259,0.59,5,False,writeins
2000_NE_House-2_REP,REP,Lee Terry,55696,98.66,4,True,terry l
2000_NE_House-2_REP,REP,Write-ins,758,1.34,4,False,writeins
2000_NE_House-3_DEM,DEM,Roland E. Reynolds,23364,98.84,8,True,reynolds r
2000_NE_House-3_DEM,DEM,Write-ins,275,1.16,8,False,writeins
2000_NE_House-3_REP,REP,Tom Osborne,52438,70.71,7,True,osborne t
2000_NE_House-3_REP,REP,John A. Gale,12573,16.95,7,False,gale j
2000_NE_House-3_REP,REP,Kathy Wilmot,9127,12.31,7,False,wilmot k
2000_NE_House-3_REP,REP,Write-ins,26,0.04,7,False,writeins
2000_NJ_House-10_DEM,DEM,Donald M. Payne,45880,100.0,17,True,payne d
2000_NJ_House-10_REP,REP,Dirk B. Weber,1492,100.0,18,True,weber d
2000_NJ_House-11_DEM,DEM,John P. Scollo,15419,100.0,20,True,scollo j
2000_NJ_House-11_REP,REP,incumbent,35820,100.0,19,True,incumbent
2000_NJ_House-12_DEM,DEM,incumbent,27104,100.0,21,True,incumbent
2000_NJ_House-12_REP,REP,Dick Zimmer,19084,62.01,22,True,zimmer d
2000_NJ_House-12_REP,REP,Mike Pappas,11692,37.99,22,False,pappas m
2000_NJ_House-13_DEM,DEM,incumbent,37357,100.0,23,True,incumbent
2000_NJ_House-13_REP,REP,Theresa de Leon,2045,57.52,24,True,leon t
2000_NJ_House-13_REP,REP,Carlos E. Munoz,849,23.88,24,False,munoz c
2000_NJ_House-13_REP,REP,Harold Turner,661,18.59,24,False,turner h
2000_NJ_House-1_DEM,DEM,incumbent,38737,100.0,1,True,incumbent
2000_NJ_House-1_REP,REP,Charlene Cathcart,9877,100.0,2,True,cathcart c
2000_NJ_House-2_DEM,DEM,Edward G. Janosik,14148,81.7,4,True,janosik e
2000_NJ_House-2_DEM,DEM,Steven A. Farkas,3168,18.3,4,False,farkas s
2000_NJ_House-2_REP,REP,incumbent,28834,100.0,3,True,incumbent
2000_NJ_House-3_DEM,DEM,Susan Bass Levin,24241,100.0,6,True,levin s
2000_NJ_House-3_REP,REP,incumbent,25280,100.0,5,True,incumbent
2000_NJ_House-4_DEM,DEM,Reed Gusciora,18952,100.0,8,True,gusciora r
2000_NJ_House-4_REP,REP,incumbent,20062,100.0,7,True,incumbent
2000_NJ_House-5_DEM,DEM,Linda A. Mercurio,14743,100.0,10,True,mercurio l
2000_NJ_House-5_REP,REP,Marge Roukema,23043,52.26,9,True,roukema m
2000_NJ_House-5_REP,REP,Scott Garrett,21051,47.74,9,False,garrett s
2000_NJ_House-6_DEM,DEM,incumbent,24475,100.0,11,True,incumbent
2000_NJ_House-6_REP,REP,Brian T. Kennedy,5683,65.98,12,True,kennedy b
2000_NJ_House-6_REP,REP,Charles T. Hutchins,2930,34.02,12,False,hutchins c
2000_NJ_House-8_DEM,DEM,incumbent,23701,100.0,13,True,incumbent
