date,value,metric
2016-01-01,46.0,approval
2016-02-01,48.0,approval
2016-03-01,50.0,approval
2016-04-01,51.0,approval
2016-05-01,51.0,approval
2016-06-01,51.0,approval
2016-07-01,50.0,approval
2016-08-01,50.0,approval
2016-09-01,52.0,approval
2016-10-01,54.0,approval
2016-11-01,57.0,approval
2016-12-01,57.0,approval
2017-01-01,45.0,approval
2017-02-01,43.0,approval
2017-03-01,40.0,approval
2017-04-01,41.0,approval
2017-05-01,40.0,approval
2017-06-01,39.0,approval
2017-07-01,38.0,approval
2017-08-01,37.0,approval
2017-09-01,38.0,approval
2017-10-01,38.0,approval
2017-11-01,38.0,approval
2017-12-01,39.0,approval
2018-01-01,40.0,approval
2018-02-01,40.0,approval
2018-03-01,41.0,approval
2018-04-01,42.0,approval
2018-05-01,42.0,approval
2018-06-01,43.0,approval
2018-07-01,43.0,approval
2018-08-01,42.0,approval
2018-09-01,43.0,approval
2018-10-01,44.0,approval
2018-11-01,43.0,approval
2018-12-01,43.0,approval
2019-01-01,40.0,approval
2019-02-01,44.0,approval
2019-03-01,43.0,approval
2019-04-01,42.0,approval
2019-05-01,42.0,approval
2019-06-01,42.0,approval
2019-07-01,42.0,approval
2019-08-01,42.0,approval
2019-09-01,43.0,approval
2019-10-01,42.0,approval
2019-11-01,43.0,approval
2019-12-01,45.0,approval
2020-01-01,44.0,approval
2020-02-01,44.0,approval
2020-03-01,45.0,approval
2020-04-01,46.0,approval
2020-05-01,43.0,approval
2020-06-01,41.0,approval
2020-07-01,41.0,approval
2020-08-01,42.0,approval
2020-09-01,43.0,approval
2020-10-01,45.0,approval
2020-11-01,45.0,approval
2020-12-01,45.0,approval
2021-01-01,55.0,approval
2021-02-01,55.0,approval
2021-03-01,54.0,approval
2021-04-01,54.0,approval
2021-05-01,54.0,approval
2021-06-01,52.0,approval
2021-07-01,50.0,approval
2021-08-01,49.0,approval
2021-09-01,46.0,approval
2021-10-01,43.0,approval
2021-11-01,43.0,approval
2021-12-01,43.0,approval
2022-01-01,43.0,approval
2022-02-01,42.0,approval
2022-03-01,42.0,approval
2022-04-01,42.0,approval
2022-05-01,41.0,approval
2022-06-01,39.0,approval
2022-07-01,38.0,approval
2022-08-01,42.0,approval
2022-09-01,43.0,approval
2022-10-01,43.0,approval
2022-11-01,42.0,approval
2022-12-01,43.0,approval
2023-01-01,43.0,approval
2023-02-01,42.0,approval
2023-03-01,42.0,approval
2023-04-01,42.0,approval
2023-05-01,40.0,approval
2023-06-01,41.0,approval
2023-07-01,41.0,approval
2023-08-01,42.0,approval
2023-09-01,40.0,approval
2023-10-01,40.0,approval
2023-11-01,40.0,approval
2023-12-01,39.0,approval
2024-01-01,40.0,approval
2024-02-01,38.0,approval
2024-03-01,38.0,approval
2024-04-01,39.0,approval
2024-05-01,39.0,approval
2024-06-01,38.0,approval
2024-07-01,38.0,approval
2024-08-01,40.0,approval
2024-09-01,42.0,approval
2024-10-01,42.0,approval
2024-11-01,40.0,approval
2024-12-01,40.0,approval
1947-01-01,21.48,cpi
1947-02-01,21.62,cpi
1947-03-01,22.0,cpi
1947-04-01,22.0,cpi
1947-05-01,21.95,cpi
1947-06-01,22.08,cpi
