year,office,state,district,party,candidate,cand_key,is_winner,status,office_level,source
1998,House,AR,2,DEM,Victor F. Snyder,snyder v,True,pending,,
1998,House,AR,2,REP,Phil Wyrick,wyrick p,False,pending,,
1998,House,CA,24,DEM,Brad Sherman,sherman b,True,pending,,
1998,House,CA,46,DEM,Loretta Sanchez,sanchez l,True,pending,,
1998,House,CA,46,REP,Robert K. Dornan,dornan r,False,pending,,
1998,Governor,CO,,REP,William F. Owens,owens w,True,pending,,
1998,House,CO,2,DEM,Mark Udall,udall m,True,pending,,
1998,House,CO,2,REP,Bob Greenlee,greenlee b,False,pending,,
1998,House,CT,1,DEM,John B. Larson,larson j,True,pending,,
1998,House,CT,1,REP,Kevin James O'Connor,connor k,False,pending,,
1998,House,HI,1,DEM,Neil Abercrombie,abercrombie n,True,pending,,
1998,House,HI,1,REP,Gene Ward,ward g,False,pending,,
1998,House,ID,1,DEM,Dan Williams,williams d,False,pending,,
1998,House,IN,10,DEM,Julia M. Carson,carson j,True,pending,,
1998,House,IN,10,REP,Gary Anthony Hofmeister,hofmeister g,False,pending,,
1998,House,IN,9,DEM,Baron P. Hill,hill b,True,pending,,
1998,House,IN,9,REP,Jean Leising,leising j,False,pending,,
1998,Governor,KS,,REP,William Graves,graves w,True,pending,,
1998,House,KY,6,DEM,Ernesto Scorsone,scorsone e,False,pending,,
1998,House,KY,6,REP,Ernest Lee Fletcher,fletcher e,True,pending,,
1998,Governor,MA,,REP,A. Paul Cellucci,cellucci a,True,pending,,
1998,House,MA,6,DEM,John F. Tierney,tierney j,True,pending,,
1998,House,MA,6,REP,Peter G. Torkildsen,torkildsen p,False,pending,,
1998,Governor,MN,,DEM,Hubert Humphrey III,humphrey h,False,pending,,
1998,Senate,MO,,REP,Christopher S. Bond,bond c,True,pending,,
1998,House,MS,4,DEM,Ronnie Shows,shows r,True,pending,,
1998,House,MS,4,REP,Delbert Hosemann,hosemann d,False,pending,,
1998,House,MT,1,REP,Richard A. Hill,hill r,True,pending,,
1998,House,NC,2,DEM,Bob R. Etheridge,etheridge b,True,pending,,
1998,House,NC,2,REP,Dan Page,page d,False,pending,,
1998,House,NC,4,DEM,David E. Price,price d,True,pending,,
1998,House,NC,4,REP,Thomas H. Roberg,roberg t,False,pending,,
1998,House,NC,8,DEM,Mike Taylor,taylor m,False,pending,,
1998,House,NC,8,REP,Robert C. Hayes,hayes r,True,pending,,
1998,House,ND,1,DEM,Earl Pomeroy,pomeroy e,True,pending,,
1998,House,ND,1,REP,Kevin Cramer,cramer k,False,pending,,
1998,Governor,NH,,DEM,Jeanne Shaheen,shaheen j,True,pending,,
