year,state,office,district,candidate,party_std,pct,end_date,sample_size,pollster,poll_id,election_date,cand_key,display_party,race_id,days_to_elec
2026,ME,Senate,,Susan M. Collins,REP,46.0,2026-07-20,1178.0,University of New Hampshire,f1a66eab-67e9-4c28-bb4b-7bc27b8c131d,2026-11-03,collins s,REP,2026_ME_Senate,106
2026,ME,Senate,,Troy Jackson,DEM,49.0,2026-07-20,1178.0,University of New Hampshire,f1a66eab-67e9-4c28-bb4b-7bc27b8c131d,2026-11-03,jackson t,DEM,2026_ME_Senate,106
2026,MT,Senate,,Alani Bankhead,DEM,43.0,2026-06-24,800.0,Hart Research Associates,19633ac9-910b-4625-a33a-4febf87202dc,2026-11-03,bankhead a,DEM,2026_MT_Senate,132
2026,MT,Senate,,Kurt Alme,REP,49.0,2026-06-24,800.0,Hart Research Associates,19633ac9-910b-4625-a33a-4febf87202dc,2026-11-03,alme k,REP,2026_MT_Senate,132
2026,MT,Senate,,Seth Bodnar,OTH,45.0,2026-06-24,800.0,Hart Research Associates,19633ac9-910b-4625-a33a-4febf87202dc,2026-11-03,bodnar s,OTH,2026_MT_Senate,132
2026,FL,Senate,S,Angie Nixon,DEM,41.6,2026-07-17,848.0,University of North Florida,b7344ec9-d1d2-459e-a5ad-16965b6345e8,2026-11-03,nixon a,DEM,2026_FL_Senate-S,109
2026,FL,Senate,S,Ashley Moody,REP,50.0,2026-07-17,848.0,University of North Florida,b7344ec9-d1d2-459e-a5ad-16965b6345e8,2026-11-03,moody a,REP,2026_FL_Senate-S,109
2026,FL,Senate,S,Alexander Vindman,DEM,40.2,2026-07-17,848.0,University of North Florida,b7344ec9-d1d2-459e-a5ad-16965b6345e8,2026-11-03,vindman a,DEM,2026_FL_Senate-S,109
2026,NC,Senate,,Michael Whatley,REP,44.0,2026-07-11,759.0,Public Policy Polling,f744b6a4-6d46-4db9-81f4-136e1d25501c,2026-11-03,whatley m,REP,2026_NC_Senate,115
2026,NC,Senate,,Roy A. Cooper,DEM,48.0,2026-07-11,759.0,Public Policy Polling,f744b6a4-6d46-4db9-81f4-136e1d25501c,2026-11-03,cooper r,DEM,2026_NC_Senate,115
2026,MI,Senate,,Mike Rogers,REP,46.0,2026-06-22,709.0,Data for Progress,007278d5-49cd-4aa2-9400-8c95c5fc50c5,2026-11-03,rogers m,REP,2026_MI_Senate,134
2026,MI,Senate,,Haley Stevens,DEM,45.0,2026-06-22,709.0,Data for Progress,007278d5-49cd-4aa2-9400-8c95c5fc50c5,2026-11-03,stevens h,DEM,2026_MI_Senate,134
2026,MI,Senate,,Abdul El-Sayed,DEM,47.0,2026-06-22,709.0,Data for Progress,007278d5-49cd-4aa2-9400-8c95c5fc50c5,2026-11-03,elsayed a,DEM,2026_MI_Senate,134
2026,NH,Senate,,Chris Pappas,DEM,43.0,2026-06-27,500.0,Peak Insights,81a561d0-30fb-49a1-b168-19f24d658d06,2026-11-03,pappas c,DEM,2026_NH_Senate,129
2026,NH,Senate,,John E. Sununu,REP,42.0,2026-06-27,500.0,Peak Insights,81a561d0-30fb-49a1-b168-19f24d658d06,2026-11-03,sununu j,REP,2026_NH_Senate,129
2026,ME,Senate,,Susan M. Collins,REP,47.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,collins s,REP,2026_ME_Senate,119
2026,ME,Senate,,Jordan Wood,DEM,38.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,wood j,DEM,2026_ME_Senate,119
2026,ME,Senate,,Janet T. Mills,DEM,37.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,mills j,DEM,2026_ME_Senate,119
2026,ME,Senate,,Nirav Shah,DEM,45.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,shah n,DEM,2026_ME_Senate,119
2026,ME,Senate,,Shenna Bellows,DEM,47.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,bellows s,DEM,2026_ME_Senate,119
2026,ME,Senate,,Troy Jackson,DEM,49.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,jackson t,DEM,2026_ME_Senate,119
2026,ME,Senate,,Graham Platner,DEM,42.0,2026-07-07,785.0,Public Policy Polling,089a174b-74ee-4363-9ca1-60d01ed22eba,2026-11-03,platner g,DEM,2026_ME_Senate,119
2026,GA,Senate,,Mike Collins,REP,42.9,2026-06-30,1175.0,Wick,3eccfb66-aab7-475e-a672-bc7dd16272cc,2026-11-03,collins m,REP,2026_GA_Senate,126
2026,GA,Senate,,Jon Ossoff,DEM,46.7,2026-06-30,1175.0,Wick,3eccfb66-aab7-475e-a672-bc7dd16272cc,2026-11-03,ossoff j,DEM,2026_GA_Senate,126
2026,ME,Senate,,Janet T. Mills,DEM,47.0,2026-07-06,405.0,Wedgewood Polls,f151442b-b6f2-4e67-88fe-f982cd4677c1,2026-11-03,mills j,DEM,2026_ME_Senate,120
2026,ME,Senate,,Susan M. Collins,REP,47.0,2026-07-06,405.0,Wedgewood Polls,f151442b-b6f2-4e67-88fe-f982cd4677c1,2026-11-03,collins s,REP,2026_ME_Senate,120
2026,ME,Senate,,Troy Jackson,DEM,48.0,2026-07-06,405.0,Wedgewood Polls,f151442b-b6f2-4e67-88fe-f982cd4677c1,2026-11-03,jackson t,DEM,2026_ME_Senate,120
2026,ME,Senate,,Graham Platner,DEM,46.0,2026-07-06,405.0,Wedgewood Polls,f151442b-b6f2-4e67-88fe-f982cd4677c1,2026-11-03,platner g,DEM,2026_ME_Senate,120
2026,ME,Senate,,Graham Platner,DEM,52.0,2026-07-06,1074.0,Tavern Research,4017c7ce-c6f0-479c-b778-dcb8097a7766,2026-11-03,platner g,DEM,2026_ME_Senate,120
2026,ME,Senate,,Susan M. Collins,REP,48.0,2026-07-06,1074.0,Tavern Research,4017c7ce-c6f0-479c-b778-dcb8097a7766,2026-11-03,collins s,REP,2026_ME_Senate,120
2026,IA,Senate,,Ashley Hinson,REP,46.0,2026-06-27,1003.0,Beacon Research/Shaw & Company Research,29db67fd-4e3f-48b5-bc3e-a47216e0df73,2026-11-03,hinson a,REP,2026_IA_Senate,129
2026,IA,Senate,,Josh Turek,DEM,50.0,2026-06-27,1003.0,Beacon Research/Shaw & Company Research,29db67fd-4e3f-48b5-bc3e-a47216e0df73,2026-11-03,turek j,DEM,2026_IA_Senate,129
2026,GA,Senate,,Mike Collins,REP,43.0,2026-06-27,1002.0,Beacon Research/Shaw & Company Research,218f0f52-9f5d-4b50-ae1d-bae3778ef88e,2026-11-03,collins m,REP,2026_GA_Senate,129
2026,GA,Senate,,Jon Ossoff,DEM,56.0,2026-06-27,1002.0,Beacon Research/Shaw & Company Research,218f0f52-9f5d-4b50-ae1d-bae3778ef88e,2026-11-03,ossoff j,DEM,2026_GA_Senate,129
2026,MI,Senate,,Mike Rogers,REP,43.7,2026-06-30,947.0,Quantus Insights,edf376a8-2e75-4c89-bb0d-665392aae970,2026-11-03,rogers m,REP,2026_MI_Senate,126
2026,MI,Senate,,Haley Stevens,DEM,45.1,2026-06-30,947.0,Quantus Insights,edf376a8-2e75-4c89-bb0d-665392aae970,2026-11-03,stevens h,DEM,2026_MI_Senate,126
2026,MI,Senate,,Mallory McMorrow,DEM,44.4,2026-06-30,947.0,Quantus Insights,edf376a8-2e75-4c89-bb0d-665392aae970,2026-11-03,mcmorrow m,DEM,2026_MI_Senate,126
2026,MI,Senate,,Abdul El-Sayed,DEM,45.2,2026-06-30,947.0,Quantus Insights,edf376a8-2e75-4c89-bb0d-665392aae970,2026-11-03,elsayed a,DEM,2026_MI_Senate,126
