page,year,office,state,primary_date,approx
2018-GOV-AK,2018,Governor,AK,2018-08-21,0
2018-GOV-AL,2018,Governor,AL,2018-06-05,0
2018-GOV-AR,2018,Governor,AR,2018-05-22,0
2018-GOV-AZ,2018,Governor,AZ,2018-08-28,0
2018-GOV-CA,2018,Governor,CA,2018-06-05,0
2018-GOV-CO,2018,Governor,CO,2018-06-26,0
2018-GOV-CT,2018,Governor,CT,2018-08-14,0
2018-GOV-FL,2018,Governor,FL,2018-08-28,0
2018-GOV-GA,2018,Governor,GA,2018-05-22,0
2018-GOV-HI,2018,Governor,HI,2018-08-11,0
2018-GOV-IA,2018,Governor,IA,2018-06-05,0
2018-GOV-ID,2018,Governor,ID,2018-05-15,0
2018-GOV-IL,2018,Governor,IL,2018-03-20,0
2018-GOV-KS,2018,Governor,KS,2018-08-07,0
2018-GOV-MA,2018,Governor,MA,2018-09-04,0
2018-GOV-MD,2018,Governor,MD,2018-06-26,0
2018-GOV-ME,2018,Governor,ME,2018-06-12,0
2018-GOV-MI,2018,Governor,MI,2018-08-07,0
2018-GOV-MN,2018,Governor,MN,2018-08-14,0
2018-GOV-NH,2018,Governor,NH,2018-09-11,0
2018-GOV-NM,2018,Governor,NM,2018-06-05,0
2018-GOV-NV,2018,Governor,NV,2018-06-12,0
2018-GOV-NY,2018,Governor,NY,2018-09-13,0
2018-GOV-OH,2018,Governor,OH,2018-05-08,0
2018-GOV-OK,2018,Governor,OK,2018-06-26,0
2018-GOV-OR,2018,Governor,OR,2018-05-15,0
2018-GOV-PA,2018,Governor,PA,2018-05-15,0
2018-GOV-RI,2018,Governor,RI,2018-09-12,0
2018-GOV-SC,2018,Governor,SC,2018-06-12,0
2018-GOV-SD,2018,Governor,SD,2018-06-05,0
2018-GOV-TN,2018,Governor,TN,2018-08-02,0
2018-GOV-TX,2018,Governor,TX,2018-03-06,0
2018-GOV-WI,2018,Governor,WI,2018-08-14,0
2018-GOV-WY,2018,Governor,WY,2018-08-21,0
2018-SEN-AZ,2018,Senate,AZ,2018-08-28,0
2018-SEN-CA,2018,Senate,CA,2018-06-05,0
2018-SEN-DE,2018,Senate,DE,2018-09-06,0
2018-SEN-FL,2018,Senate,FL,2018-08-28,0
2018-SEN-IN,2018,Senate,IN,2018-05-08,0
2018-SEN-MA,2018,Senate,MA,2018-09-04,0
2018-SEN-MD,2018,Senate,MD,2018-06-26,0
2018-SEN-MI,2018,Senate,MI,2018-08-07,0
2018-SEN-MO,2018,Senate,MO,2018-08-07,0
2018-SEN-MS,2018,Senate,MS,2018-06-05,0
2018-SEN-MT,2018,Senate,MT,2018-06-05,0
2018-SEN-ND,2018,Senate,ND,2018-06-12,0
2018-SEN-NV,2018,Senate,NV,2018-06-12,0
2018-SEN-OH,2018,Senate,OH,2018-05-08,0
2018-SEN-PA,2018,Senate,PA,2018-05-15,0
2018-SEN-RI,2018,Senate,RI,2018-09-12,0
2018-SEN-TN,2018,Senate,TN,2018-08-02,0
2018-SEN-TX,2018,Senate,TX,2018-03-06,0
2018-SEN-UT,2018,Senate,UT,2018-06-26,0
2018-SEN-VA,2018,Senate,VA,2018-06-12,0
2018-SEN-WA,2018,Senate,WA,2018-08-07,0
2018-SEN-WI,2018,Senate,WI,2018-08-14,0
2018-SEN-WV,2018,Senate,WV,2018-05-08,0
2019-GOV-KY,2019,Governor,KY,2019-05-21,0
2019-GOV-MS,2019,Governor,MS,2019-08-06,0
2020-GOV-MT,2020,Governor,MT,2020-06-02,0
2020-GOV-NC,2020,Governor,NC,2020-03-03,0
2020-GOV-NH,2020,Governor,NH,2020-09-08,0
2020-GOV-UT,2020,Governor,UT,2020-06-30,0
2020-GOV-WA,2020,Governor,WA,2020-08-04,0
2020-GOV-WV,2020,Governor,WV,2020-06-09,0
2020-SEN-AL,2020,Senate,AL,2020-03-03,0
2020-SEN-CO,2020,Senate,CO,2020-06-30,0
2020-SEN-DE,2020,Senate,DE,2020-09-15,0
2020-SEN-GA,2020,Senate,GA,2020-06-09,0
2020-SEN-KS,2020,Senate,KS,2020-08-04,0
2020-SEN-KY,2020,Senate,KY,2020-06-23,0
2020-SEN-MA,2020,Senate,MA,2020-09-01,0
2020-SEN-ME,2020,Senate,ME,2020-07-14,0
2020-SEN-MI,2020,Senate,MI,2020-08-04,0
2020-SEN-NC,2020,Senate,NC,2020-03-03,0
2020-SEN-NE,2020,Senate,NE,2020-05-12,0
2020-SEN-NH,2020,Senate,NH,2020-09-08,0
2020-SEN-NM,2020,Senate,NM,2020-06-02,0
2020-SEN-SC,2020,Senate,SC,2020-06-09,0
2020-SEN-TN,2020,Senate,TN,2020-08-06,0
2020-SEN-TX,2020,Senate,TX,2020-03-03,0
2020-SEN-VA,2020,Senate,VA,2020-06-23,0
2020-SEN-WY,2020,Senate,WY,2020-08-18,0
2021-GOV-NJ,2021,Governor,NJ,2021-06-08,0
2021-GOV-VA,2021,Governor,VA,2021-06-08,0
2022-GOV-AK,2022,Governor,AK,2022-08-16,0
2022-GOV-AL,2022,Governor,AL,2022-05-24,0
2022-GOV-AR,2022,Governor,AR,2022-05-24,0
2022-GOV-AZ,2022,Governor,AZ,2022-08-02,0
2022-GOV-CA,2022,Governor,CA,2022-06-07,0
2022-GOV-FL,2022,Governor,FL,2022-08-23,0
2022-GOV-GA,2022,Governor,GA,2022-05-24,0
2022-GOV-HI,2022,Governor,HI,2022-08-13,0
2022-GOV-ID,2022,Governor,ID,2022-05-17,0
2022-GOV-IL,2022,Governor,IL,2022-06-28,0
2022-GOV-KS,2022,Governor,KS,2022-08-02,0
2022-GOV-MA,2022,Governor,MA,2022-09-06,0
2022-GOV-MD,2022,Governor,MD,2022-07-19,0
2022-GOV-ME,2022,Governor,ME,2022-06-14,0
2022-GOV-MI,2022,Governor,MI,2022-08-02,0
2022-GOV-NE,2022,Governor,NE,2022-05-10,0
2022-GOV-NH,2022,Governor,NH,2022-09-13,0
2022-GOV-NM,2022,Governor,NM,2022-06-07,0
2022-GOV-NY,2022,Governor,NY,2022-06-28,0
2022-GOV-OH,2022,Governor,OH,2022-05-03,0
2022-GOV-OK,2022,Governor,OK,2022-06-28,0
2022-GOV-OR,2022,Governor,OR,2022-05-17,0
2022-GOV-PA,2022,Governor,PA,2022-05-17,0
2022-GOV-RI,2022,Governor,RI,2022-09-13,0
2022-GOV-SC,2022,Governor,SC,2022-06-14,0
2022-GOV-SD,2022,Governor,SD,2022-06-07,0
2022-GOV-TN,2022,Governor,TN,2022-08-04,0
2022-GOV-TX,2022,Governor,TX,2022-03-01,0
2022-GOV-WI,2022,Governor,WI,2022-08-09,0
2022-SEN-AL,2022,Senate,AL,2022-05-24,0
2022-SEN-AR,2022,Senate,AR,2022-05-24,0
2022-SEN-AZ,2022,Senate,AZ,2022-08-02,0
2022-SEN-CA,2022,Senate,CA,2022-06-07,0
2022-SEN-CO,2022,Senate,CO,2022-06-28,0
2022-SEN-CT,2022,Senate,CT,2022-08-09,0
2022-SEN-FL,2022,Senate,FL,2022-08-23,0
2022-SEN-GA,2022,Senate,GA,2022-05-24,0
2022-SEN-IA,2022,Senate,IA,2022-06-07,0
2022-SEN-IL,2022,Senate,IL,2022-06-28,0
2022-SEN-KS,2022,Senate,KS,2022-08-02,0
2022-SEN-MD,2022,Senate,MD,2022-07-19,0
2022-SEN-MO,2022,Senate,MO,2022-08-02,0
2022-SEN-NC,2022,Senate,NC,2022-05-17,0
