year,state,office,district,party_std,candidate,cand_key,pct,pollster,sample_size,population,end_date,election_date,race_id,won
2018,AL,Governor,,REP,Tommy Battle,battle t,18.0,The Tarrance Group (R-Ivey),602.0,,5/22/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Scott Dawson,dawson s,7.000000000000001,The Tarrance Group (R-Ivey),602.0,,5/22/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Bill Hightower,hightower b,5.0,The Tarrance Group (R-Ivey),602.0,,5/22/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Kay Ivey,ivey k,57.99999999999999,The Tarrance Group (R-Ivey),602.0,,5/22/18,2018-06-05,2018_AL_Governor_REP,1
2018,AL,Governor,,REP,Tommy Battle,battle t,11.0,Leverage Public Strategies,600.0,,4/30/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Scott Dawson,dawson s,9.0,Leverage Public Strategies,600.0,,4/30/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Bill Hightower,hightower b,4.0,Leverage Public Strategies,600.0,,4/30/18,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Kay Ivey,ivey k,47.0,Leverage Public Strategies,600.0,,4/30/18,2018-06-05,2018_AL_Governor_REP,1
2018,AL,Governor,,REP,Tommy Battle,battle t,11.0,The Tarrance Group (R-Ivey),601.0,,8/30/17,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Bill Hightower,hightower b,3.0,The Tarrance Group (R-Ivey),601.0,,8/30/17,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Kay Ivey,ivey k,66.0,The Tarrance Group (R-Ivey),601.0,,8/30/17,2018-06-05,2018_AL_Governor_REP,1
2018,AL,Governor,,REP,Tommy Battle,battle t,9.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Young Boozer,boozer y,2.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Tim James,james t,3.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Del Marsh,marsh d,2.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,John McMillan,mcmillan j,3.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,John Merrill,merrill j,3.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Roy Moore,moore r,28.000000000000004,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Martha Roby,roby m,6.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Luther Strange,strange l,19.0,Public Insight Research,607.0,,7/1/16,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Mike Hubbard,hubbard m,4.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Tim James,james t,4.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Del Marsh,marsh d,5.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,John McMillan,mcmillan j,2.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,John Merrill,merrill j,3.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Roy Moore,moore r,32.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AL,Governor,,REP,Luther Strange,strange l,19.0,Public Insight Research,601.0,,7/1/15,2018-06-05,2018_AL_Governor_REP,0
2018,AR,Governor,,REP,Asa Hutchinson,hutchinson a,57.99999999999999,Hendrix College,676.0,,4/19/18,2018-05-22,2018_AR_Governor_REP,1
2018,AR,Governor,,REP,Jan Morgan,morgan j,31.0,Hendrix College,676.0,,4/19/18,2018-05-22,2018_AR_Governor_REP,0
2018,AZ,Governor,,REP,Doug Ducey,ducey d,44.0,Emerson College,305.0,,6/22/18,2018-08-28,2018_AZ_Governor_REP,1
2018,AZ,Governor,,REP,Ken Bennett,bennett k,22.0,Emerson College,305.0,,6/22/18,2018-08-28,2018_AZ_Governor_REP,0
2018,AZ,Governor,,DEM,Steve Farley,farley s,25.0,OH Predictive Insights,589.0,,8/15/18,2018-08-28,2018_AZ_Governor_DEM,0
2018,AZ,Governor,,DEM,Kelly Fryer,fryer k,7.000000000000001,OH Predictive Insights,589.0,,8/15/18,2018-08-28,2018_AZ_Governor_DEM,0
