race_id,party,candidate,votes,pct,table_seq,is_winner,cand_key
1998_AL_Governor_REP,REP,Fob James,253965,55.92,2,True,james f
1998_AL_Governor_REP,REP,Winton Blount,200200,44.08,2,False,blount w
1998_AL_Governor_DEM,DEM,Don Siegelman,254507,78.26,3,True,siegelman d
1998_AL_Governor_DEM,DEM,Lenora Pate,53618,16.49,3,False,pate l
1998_AL_Governor_DEM,DEM,Wayne Sowell,10108,3.11,3,False,sowell w
1998_AL_Governor_DEM,DEM,Lee Lamb,6597,2.03,3,False,lamb l
1998_AR_Governor_DEM,DEM,Bill Bristow,129639,55.22,1,True,bristow b
1998_AR_Governor_DEM,DEM,Johnny Hoyt,90057,38.36,1,False,hoyt j
1998_AR_Governor_DEM,DEM,Dirk Anderson,15072,6.42,1,False,anderson d
1998_AR_Governor_REP,REP,Mike Huckabee,64819,63.56,2,True,huckabee m
1998_AR_Governor_REP,REP,Gene McVay,37160,36.44,2,False,mcvay g
1998_AR_Senate_DEM,DEM,Blanche Lincoln,145009,45.5,1,True,lincoln b
1998_AR_Senate_DEM,DEM,Winston Bryant,87183,27.4,1,False,bryant w
1998_AR_Senate_DEM,DEM,Scott Ferguson,44761,14.0,1,False,ferguson s
1998_AR_Senate_DEM,DEM,Nate Coulter,41848,13.1,1,False,coulter n
1998_AR_Senate_REP,REP,Fay Boozman,128929,78.0,2,True,boozman f
1998_AR_Senate_REP,REP,Tom Prince,44006,22.0,2,False,prince t
1998_AZ_Governor_DEM,DEM,Paul Johnson,109044,100.0,1,True,johnson p
1998_AZ_Governor_REP,REP,Jane Dee Hull,177324,76.52,2,True,hull j
1998_AZ_Governor_REP,REP,Jim Howl,30699,13.25,2,False,howl j
1998_AZ_Governor_REP,REP,Charles Brown,23710,10.23,2,False,brown c
1998_CA_Senate_DEM,DEM,Barbara Boxer,2574264,92.15,1,True,boxer b
1998_CA_Senate_DEM,DEM,John Pinkerton,219250,7.85,1,False,pinkerton j
1998_CA_Senate_REP,REP,Matt Fong,1292662,45.28,2,True,fong m
1998_CA_Senate_REP,REP,Darrell Issa,1142567,40.02,2,False,issa d
1998_CA_Senate_REP,REP,Frank Riggs,295886,10.36,2,False,riggs f
1998_CA_Senate_REP,REP,John M. Brown,48941,1.71,2,False,brown j
1998_CA_Senate_REP,REP,Mark Raus,45480,1.59,2,False,raus m
1998_CA_Senate_REP,REP,Linh Dao,29241,1.02,2,False,dao l
1998_CO_Governor_DEM,DEM,Gail Schoettler,80038,55.51,1,True,schoettler g
1998_CO_Governor_DEM,DEM,Mike Feeley,64034,44.41,1,False,feeley m
1998_CO_Governor_DEM,DEM,Write-ins,125,0.09,1,False,writeins
1998_CO_Governor_REP,REP,Bill Owens,126816,59.2,2,True,owens b
1998_CO_Governor_REP,REP,Tom Norton,87214,40.71,2,False,norton t
1998_CO_Governor_REP,REP,Write-ins,186,0.09,2,False,writeins
1998_CO_Senate_DEM,DEM,Dottie Lamm,84929,57.98,1,True,lamm d
1998_CO_Senate_DEM,DEM,Gil Romero,61548,42.02,1,False,romero g
1998_CO_Senate_REP,REP,Ben Nighthorse Campbell,154702,70.62,2,True,campbell b
1998_CO_Senate_REP,REP,Bill Eggert,64347,29.38,2,False,eggert b
1998_FL_Governor_DEM,DEM,Buddy MacKay,1244044,100.0,1,True,mackay b
1998_FL_Governor_REP,REP,Jeb Bush,998566,100.0,2,True,bush j
1998_FL_Senate_DEM,DEM,Bob Graham,909349,100.0,1,True,graham b
1998_FL_Senate_REP,REP,Charlie Crist,365894,66.4,2,True,crist c
