race_id,party,candidate,votes,pct,table_seq,is_winner,cand_key
2018_AK_Governor_DEM,DEM,Mark Begich,33451,85.3,1,True,begich m
2018_AK_Governor_REP,REP,Mike Dunleavy,43802,61.5,2,True,dunleavy m
2018_AK_Governor_REP,REP,Mead Treadwell,22780,32.0,2,False,treadwell m
2018_AK_Governor_REP,REP,Michael Sheldon,1640,2.3,2,False,sheldon m
2018_AK_Governor_REP,REP,Merica Hlatcu,1064,1.5,2,False,hlatcu m
2018_AK_Governor_REP,REP,Thomas Gordon,884,1.4,2,False,gordon t
2018_AK_Governor_REP,REP,Gerald Heikes,499,0.7,2,False,heikes g
2018_AK_Governor_REP,REP,Darin Colbry,416,0.6,2,False,colbry d
2018_AL_Governor_REP,REP,Kay Ivey,330743,56.1,1,True,ivey k
2018_AL_Governor_REP,REP,Tommy Battle,146887,24.92,1,False,battle t
2018_AL_Governor_REP,REP,Scott Dawson,79302,13.45,1,False,dawson s
2018_AL_Governor_REP,REP,Bill Hightower,29275,4.97,1,False,hightower b
2018_AL_Governor_REP,REP,Michael McAllister,3326,0.56,1,False,mcallister m
2018_AL_Governor_DEM,DEM,Walt Maddox,154559,54.6,2,True,maddox w
2018_AL_Governor_DEM,DEM,Sue Bell Cobb,82043,28.98,2,False,cobb s
2018_AL_Governor_DEM,DEM,James Fields,22635,8.0,2,False,fields j
2018_AL_Governor_DEM,DEM,Anthony White,9677,3.42,2,False,white a
2018_AL_Governor_DEM,DEM,"Doug ""New Blue"" Smith",9244,3.27,2,False,smith d
2018_AL_Governor_DEM,DEM,Christopher Countryman,4923,1.74,2,False,countryman c
2018_AR_Governor_REP,REP,Asa Hutchinson,145251,69.7,1,True,hutchinson a
2018_AR_Governor_REP,REP,Jan Morgan,63009,30.3,1,False,morgan j
2018_AR_Governor_DEM,DEM,Jared Henderson,68340,63.4,2,True,henderson j
2018_AR_Governor_DEM,DEM,Leticia Sanders,39382,36.6,2,False,sanders l
2018_AZ_Governor_REP,REP,Doug Ducey,463672,70.7,1,True,ducey d
2018_AZ_Governor_REP,REP,Ken Bennett,191775,29.3,1,False,bennett k
2018_AZ_Governor_REP,REP,Robert Weber,91,0.0,1,False,weber r
2018_AZ_Governor_DEM,DEM,David Garcia,255555,50.6,2,True,garcia d
2018_AZ_Governor_DEM,DEM,Steve Farley,163072,32.3,2,False,farley s
2018_AZ_Governor_DEM,DEM,Kelly Fryer,86810,17.2,2,False,fryer k
2018_AZ_Governor_DEM,DEM,Mirza Fareed Baig,44,0.0,2,False,baig m
2018_AZ_Senate_REP,REP,Martha McSally,357626,54.57,1,True,mcsally m
2018_AZ_Senate_REP,REP,Kelli Ward,180926,27.61,1,False,ward k
2018_AZ_Senate_REP,REP,Joe Arpaio,116555,17.79,1,False,arpaio j
2018_AZ_Senate_DEM,DEM,Kyrsten Sinema,404170,79.25,2,True,sinema k
2018_AZ_Senate_DEM,DEM,Deedra Abboud,105800,20.75,2,False,abboud d
2018_CO_Governor_DEM,DEM,Jared Polis,282725,44.46,1,True,polis j
2018_CO_Governor_DEM,DEM,Cary Kennedy,157098,24.71,1,False,kennedy c
2018_CO_Governor_DEM,DEM,Mike Johnston,149717,23.55,1,False,johnston m
2018_CO_Governor_DEM,DEM,Donna Lynne,46316,7.28,1,False,lynne d
2018_CO_Governor_REP,REP,Walker Stapleton,239415,47.66,2,True,stapleton w
2018_CO_Governor_REP,REP,Victor Mitchell,151365,30.13,2,False,mitchell v
2018_CO_Governor_REP,REP,Greg Lopez,66330,13.2,2,False,lopez g
2018_CO_Governor_REP,REP,Doug Robinson,45245,9.01,2,False,robinson d
2018_CT_Governor_DEM,DEM,Susan Bysiewicz,129928,62.2,2,True,bysiewicz s
2018_CT_Governor_DEM,DEM,Eva Bermúdez Zimmerman,79021,37.8,2,False,zimmerman e
2018_CT_Governor_REP,REP,Joe Markley,65702,47.6,4,True,markley j
2018_CT_Governor_REP,REP,Erin Stewart,45262,32.8,4,False,stewart e
2018_CT_Governor_REP,REP,Jayme Stevenson,27139,19.7,4,False,stevenson j
2018_DE_Senate_DEM,DEM,Tom Carper,53633,64.59,1,True,carper t
2018_DE_Senate_DEM,DEM,Kerri Evelyn Harris,29406,35.41,1,False,harris k
2018_DE_Senate_REP,REP,Rob Arlett,25284,66.77,2,True,arlett r
2018_DE_Senate_REP,REP,Gene Truono,10587,27.96,2,False,truono g
2018_DE_Senate_REP,REP,Rocky De La Fuente,1998,5.28,2,False,fuente r
2018_FL_Governor_REP,REP,Ron DeSantis,916298,56.5,1,True,desantis r
2018_FL_Governor_REP,REP,Adam Putnam,592518,36.5,1,False,putnam a
