year,office,state,district,party,candidate,cand_key,won,reason,ev
1998,House,CA,36,DEM,Janice Hahn,hahn j,0,table_zero,True
1998,House,HI,1,REP,Gene Ward,ward g,0,no_bio,True
1998,House,KY,6,DEM,Ernesto Scorsone,scorsone e,0,no_bio,True
1998,House,MT,1,DEM,Dusty Deschamps,deschamps d,0,table_zero,True
1998,Governor,NH,,REP,Jay Lucas,lucas j,0,table_zero,True
1998,House,NM,3,REP,Bill Redmond,redmond b,0,no_bio,True
1998,Senate,OH,,DEM,Mary Boyle,boyle m,0,table_zero,True
1998,Senate,OR,,REP,John Lim,lim j,0,table_zero,True
2000,House,MI,8,DEM,Dianne Byrum,byrum d,0,no_bio,True
2000,House,MT,1,DEM,Nancy Keenan,keenan n,0,table_zero,True
2000,Senate,NY,,REP,Rick Lazio,lazio r,0,table_zero,True
2000,House,OH,1,DEM,John Cranley,cranley j,0,table_zero,True
2000,House,WA,2,REP,John Koster,koster j,0,table_zero,True
2002,House,AZ,1,DEM,George Cordova,cordova g,0,table_zero,True
2002,House,KY,3,DEM,Jack Conway,conway j,0,table_zero,True
2002,House,KY,4,REP,Geoff Davis,davis g,0,table_zero,True
2002,Governor,MN,,DEM,Roger Moe,moe r,0,table_zero,True
2002,House,MT,1,DEM,Steve Kelly,kelly s,0,no_bio,True
2002,House,NH,1,DEM,Martha Fuller Clark,clark m,0,no_bio,True
2002,Senate,SC,,DEM,Alex Sanders,sanders a,0,table_zero,True
2002,House,UT,2,REP,John Swallow,swallow j,0,no_bio,True
2002,Governor,VT,,DEM,Doug Racine,racine d,0,table_zero,True
2002,House,WA,2,REP,Norma Smith,smith n,0,table_zero,True
2002,Senate,WV,,REP,Jay Wolfe,wolfe j,0,table_zero,True
2004,House,FL,13,DEM,Jan Schneider,schneider j,0,table_zero,True
2004,House,ME,1,REP,Charlie Summers,summers c,0,no_bio,True
2004,House,MN,6,DEM,Patty Wetterling,wetterling p,0,no_bio,True
2004,House,ND,1,REP,Duane Sand,sand d,0,table_zero,True
2006,House,AK,1,DEM,Diane Benson,benson d,0,no_bio,True
2006,House,AR,2,REP,Andy Mayberry,mayberry a,0,table_zero,True
2006,House,IA,3,REP,Jeff Lamberti,lamberti j,0,table_zero,True
2006,House,IL,6,DEM,Tammy Duckworth,duckworth t,0,table_zero,True
2006,House,IL,8,REP,David McSweeney,mcsweeney d,0,table_zero,True
2006,Senate,MI,,REP,Mike Bouchard,bouchard m,0,table_zero,True
2006,House,SC,5,REP,Ralph Norman,norman r,0,table_zero,True
2006,House,TX,23,DEM,Ciro D. Rodriguez,rodriguez c,0,table_zero,True
2006,House,TX,17,REP,Van Taylor,taylor v,0,table_zero,True
2006,House,UT,2,REP,LaVar Christensen,christensen l,0,table_zero,True
2006,Senate,UT,,DEM,Pete Ashdown,ashdown p,0,table_zero,True
2006,House,WA,5,DEM,Peter J. Goldmark,goldmark p,0,table_zero,True
2008,House,AL,2,REP,Jay Love,love j,0,table_zero,True
2008,House,DE,1,DEM,Karen M. Hartley-Nagle,nagle k,0,table_zero,True
2008,Senate,DE,,REP,Christine O'Donnell,donnell c,0,table_zero,True
2008,House,FL,18,DEM,Annette Taddeo,taddeo a,0,table_zero,True
2008,House,FL,25,DEM,Joe Garcia,garcia j,0,table_zero,True
2008,House,ME,1,REP,Charlie Summers,summers c,0,table_zero,True
2008,Senate,MS,S,OTH,Ronnie Musgrove,musgrove r,0,no_bio,True
2008,House,ND,1,REP,Duane Sand,sand d,0,table_zero,True
2008,House,OH,2,DEM,Victoria Wells Wulsin,wulsin v,0,table_zero,True
2008,House,OR,5,REP,Mike Erickson,erickson m,0,table_zero,True
2008,House,TX,7,DEM,Michael Peter Skelly,skelly m,0,table_zero,True
2010,Governor,AK,,DEM,Ethan Berkowitz,berkowitz e,0,table_zero,True
2010,House,AR,1,DEM,Chad Causey,causey c,0,table_zero,True
2010,House,AZ,8,REP,Jesse Kelly,kelly j,0,no_bio,True
2010,House,CA,3,DEM,Ami Bera,bera a,0,table_zero,True
2010,House,CA,11,REP,David Harmer,harmer d,0,table_zero,True
2010,House,CA,20,REP,Andy Vidak,vidak a,0,table_zero,True
2010,House,CT,4,REP,Dan Debicella,debicella d,0,table_zero,True
2010,Senate,DE,S,REP,Christine O'Donnell,donnell c,0,no_bio,True
2010,House,FL,25,DEM,Joe Garcia,garcia j,0,table_zero,True
2010,House,GA,2,REP,Mike Keown,keown m,0,table_zero,True
2010,Governor,HI,,REP,Duke Aiona,aiona d,0,table_zero,True
2010,House,IA,2,REP,Mariannette Miller-Meeks,meeks m,0,table_zero,True
2010,House,IN,2,REP,Jackie Walorski,walorski j,0,table_zero,True
2010,House,KS,1,DEM,Alan E. Jilka,jilka a,0,table_zero,True
2010,House,KY,6,REP,Andy Barr,barr a,0,table_zero,True
2010,House,MA,6,REP,Bill Hudak,hudak b,0,table_zero,True
2010,House,MI,1,DEM,Gary McDowell,mcdowell g,0,table_zero,True
2010,House,MI,15,REP,Rob Steele,steele r,0,table_zero,True
2010,House,NC,8,REP,Harold Johnson,johnson h,0,table_zero,True
2010,House,NH,2,DEM,Ann McLane Kuster,kuster a,0,table_zero,True
2010,House,NY,20,DEM,Scott Murphy,murphy s,0,table_zero,True
2010,House,VA,5,DEM,Tom S. Perriello,perriello t,0,no_bio,True
