feature,gain_importance,rank
gap_x_recency,0.3356935,1
poll_lead,0.30363888,2
poll_adj,0.067503296,3
poll_share,0.038638096,4
twoparty_margin_cand,0.035792235,5
avg_margin_over_time,0.032522745,6
poll_last30,0.030997662,7
poll_last,0.027976492,8
is_incumbent,0.020773184,9
abs_gap,0.015393657,10
prior_margin_cand,0.010975144,11
min_margin,0.010404129,12
poll_avg,0.009449854,13
poll_momentum,0.008891509,14
cpi_core_trend_3mo,0.008276588,15
unemp_u6_trend_3mo,0.0075177867,16
undecided,0.006594879,17
margin_volatility,0.0063800854,18
n_polls_over50,0.005238617,19
margin_trend,0.0049024345,20
unemp_u6_trend_6mo,0.0029492532,21
inflation_trend_12mo,0.0021466508,22
generic_ballot_avg_12mo,0.0020646153,23
fed_funds_avg_12mo,0.0018504316,24
poll_std,0.0016047276,25
avg_sample,0.0013982134,26
natl_env_cand,0.00042527253,27
frac_polls_over50,0.0,28
is_gov,0.0,29
is_senate,0.0,30
is_rep,0.0,31
n_cands,0.0,32
n_polls,0.0,33
race_total_polls,0.0,34
min_days,0.0,35
approval_avg_12mo,0.0,36
approval_avg_3mo,0.0,37
approval_avg_6mo,0.0,38
approval_eve,0.0,39
approval_last12_delta,0.0,40
approval_max,0.0,41
approval_max_12mo,0.0,42
approval_max_3mo,0.0,43
approval_max_6mo,0.0,44
approval_mean,0.0,45
is_dem,0.0,46
tossup,0.0,47
is_inc_party_race,0.0,48
n_lead_changes,0.0,49
lead_changed,0.0,50
is_president_party,0.0,51
approval_trend_6mo,0.0,52
approval_trend_3mo,0.0,53
approval_trend_12mo,0.0,54
approval_trend,0.0,55
approval_std,0.0,56
approval_min,0.0,57
cpi_core_last12_delta,0.0,58
cpi_core_avg_6mo,0.0,59
cpi_core_max_3mo,0.0,60
cpi_core_max_6mo,0.0,61
cpi_core_min,0.0,62
cpi_core_mean,0.0,63
cpi_core_std,0.0,64
cpi_core_max,0.0,65
cpi_core_max_12mo,0.0,66
cpi_core_avg_12mo,0.0,67
cpi_core_trend_6mo,0.0,68
fed_funds_avg_3mo,0.0,69
fed_funds_avg_6mo,0.0,70
fed_funds_eve,0.0,71
fed_funds_last12_delta,0.0,72
fed_funds_max,0.0,73
fed_funds_max_12mo,0.0,74
fed_funds_max_3mo,0.0,75
fed_funds_max_6mo,0.0,76
fed_funds_mean,0.0,77
fed_funds_min,0.0,78
fed_funds_std,0.0,79
fed_funds_trend,0.0,80
cpi_core_trend,0.0,81
cpi_core_trend_12mo,0.0,82
cpi_core_avg_3mo,0.0,83
fed_funds_trend_6mo,0.0,84
gas_avg_12mo,0.0,85
gas_avg_6mo,0.0,86
gas_avg_3mo,0.0,87
gas_last12_delta,0.0,88
gas_max,0.0,89
gas_max_12mo,0.0,90
gas_eve,0.0,91
gas_max_6mo,0.0,92
gas_mean,0.0,93
gas_min,0.0,94
gas_std,0.0,95
gas_trend,0.0,96
gas_trend_12mo,0.0,97
gas_trend_3mo,0.0,98
gas_max_3mo,0.0,99
gas_trend_6mo,0.0,100
generic_ballot_avg_3mo,0.0,101
generic_ballot_avg_6mo,0.0,102
