700 (cycle, state) pages to scrape across 14 cycles
  1998 ID: 9 result rows, 4 party-races
  1998 NE: 17 result rows, 5 party-races
  1998 NJ: 35 result rows, 25 party-races
  1998 PA: 64 result rows, 38 party-races
  1998 VT (at-large): 9 result rows, 2 party-races
  1998 WY (at-large): 4 result rows, 2 party-races
  ... 50/700 pages checked, 138 rows so far, 6 pages had primary data
  2000 AZ: 5 result rows, 1 party-races
  2000 ID: 12 result rows, 4 party-races
  2000 KY: 12 result rows, 5 party-races
  2000 MN: 13 result rows, 8 party-races
  2000 NE: 15 result rows, 6 party-races
  2000 NJ: 31 result rows, 24 party-races
  2000 NY: 2 result rows, 1 party-races
  2000 PA: 55 result rows, 38 party-races
  2000 SD (at-large): 3 result rows, 1 party-races
  2000 VT (at-large): 6 result rows, 2 party-races
  2000 WY (at-large): 5 result rows, 2 party-races
  ... 100/700 pages checked, 297 rows so far, 17 pages had primary data
  2002 AZ: 51 result rows, 16 party-races
  2002 CO: 21 result rows, 14 party-races
  2002 MN: 9 result rows, 8 party-races
  2002 MT (at-large): 3 result rows, 2 party-races
  2002 NE: 4 result rows, 4 party-races
  2002 NJ: 33 result rows, 25 party-races
  2002 PA: 43 result rows, 31 party-races
  2002 SD (at-large): 9 result rows, 2 party-races
  2002 TN: 63 result rows, 18 party-races
  2002 VT (at-large): 6 result rows, 2 party-races
  2002 WY (at-large): 3 result rows, 2 party-races
  ... 150/700 pages checked, 542 rows so far, 28 pages had primary data
  2004 AZ: 25 result rows, 14 party-races
  2004 CO: 21 result rows, 14 party-races
  2004 MN: 10 result rows, 8 party-races
  2004 MS: 10 result rows, 4 party-races
  2004 NE: 15 result rows, 6 party-races
  2004 NV: 14 result rows, 4 party-races
  2004 NM: 4 result rows, 2 party-races
  2004 OR: 15 result rows, 10 party-races
  2004 PA: 48 result rows, 32 party-races
  2004 TN: 31 result rows, 17 party-races
  2004 UT: 4 result rows, 2 party-races
  2004 VA: 2 result rows, 1 party-races
  2004 WY (at-large): 8 result rows, 2 party-races
  ... 200/700 pages checked, 749 rows so far, 41 pages had primary data
  2006 AK (at-large): 5 result rows, 2 party-races
  2006 AZ: 33 result rows, 15 party-races
  2006 CO: 20 result rows, 13 party-races
  2006 DE (at-large): 2 result rows, 1 party-races
  2006 FL: 5 result rows, 2 party-races
  2006 ID: 8 result rows, 2 party-races
  2006 MN: 7 result rows, 5 party-races
  2006 MT (at-large): 3 result rows, 2 party-races
  2006 NE: 12 result rows, 6 party-races
  2006 NV: 15 result rows, 4 party-races
  2006 NJ: 28 result rows, 24 party-races
  2006 OH: 88 result rows, 36 party-races
  2006 OK: 16 result rows, 5 party-races
  2006 OR: 19 result rows, 10 party-races
  2006 PA: 40 result rows, 34 party-races
  2006 TN: 62 result rows, 18 party-races
  2006 VT (at-large): 5 result rows, 2 party-races
  2006 VA: 4 result rows, 2 party-races
  2006 WY (at-large): 3 result rows, 2 party-races
  ... 250/700 pages checked, 1124 rows so far, 60 pages had primary data
  2008 AK (at-large): 2 result rows, 1 party-races
  2008 AZ: 31 result rows, 16 party-races
  2008 CO: 22 result rows, 14 party-races
  2008 DE (at-large): 3 result rows, 1 party-races
  2008 GA: 8 result rows, 4 party-races
  2008 LA: 24 result rows, 5 party-races
  2008 ME: 8 result rows, 2 party-races
  2008 MD: 5 result rows, 1 party-races
  2008 MN: 8 result rows, 5 party-races
  2008 MO: 38 result rows, 16 party-races
  2008 MT (at-large): 4 result rows, 2 party-races
  2008 NV: 18 result rows, 5 party-races
  2008 NH: 9 result rows, 2 party-races
  2008 NJ: 45 result rows, 25 party-races
  2008 NM: 21 result rows, 6 party-races
  2008 NY: 7 result rows, 2 party-races
  2008 OR: 21 result rows, 9 party-races
  2008 PA: 52 result rows, 36 party-races
  2008 TN: 35 result rows, 17 party-races
  2008 VT (at-large): 3 result rows, 1 party-races
