feature,gain_importance,rank
poll_share,0.19295731,1
avg_margin_over_time,0.17949636,2
poll_avg,0.14574972,3
poll_lead,0.09106416,4
poll_last30,0.08427122,5
poll_adj,0.052586325,6
gap_x_recency,0.032682277,7
min_margin,0.01900942,8
poll_last,0.012311354,9
is_incumbent,0.009695369,10
cpi_core_avg_12mo,0.006659969,11
twoparty_margin_cand,0.006480309,12
inflation_last12_delta,0.0064597433,13
inflation_min,0.0059931623,14
fed_funds_avg_3mo,0.0058454163,15
inflation_max,0.0058121295,16
is_rep,0.0050488045,17
prior_margin_cand,0.0048096743,18
unemployment_last12_delta,0.004427841,19
approval_trend_6mo,0.004217363,20
inflation_avg_12mo,0.004207167,21
fed_funds_avg_6mo,0.0041569853,22
abs_gap,0.0040718536,23
approval_min,0.0039662053,24
poll_momentum,0.0037105975,25
gas_trend,0.0032820841,26
unemployment_trend,0.0031621743,27
gas_std,0.003148358,28
approval_trend,0.0031308564,29
inflation_std,0.0030405347,30
approval_max,0.0029466583,31
poll_std,0.0029269725,32
fed_funds_avg_12mo,0.0029121293,33
approval_last12_delta,0.0028257412,34
gas_avg_3mo,0.0027561863,35
inflation_trend,0.0026341835,36
fed_funds_std,0.0025827256,37
inflation_max_12mo,0.002310884,38
cpi_core_trend_3mo,0.0022677735,39
approval_avg_3mo,0.0022473217,40
inflation_trend_3mo,0.002206014,41
margin_volatility,0.0021787821,42
unemployment_avg_12mo,0.0021687043,43
unemployment_std,0.0021290858,44
margin_trend,0.0021226944,45
gas_min,0.0021035185,46
frac_polls_over50,0.0020880224,47
unemp_u6_trend,0.0020658416,48
inflation_trend_12mo,0.0020017147,49
avg_sample,0.0019600324,50
natl_env_cand,0.0019064421,51
unemp_u6_std,0.0019033002,52
undecided,0.001895076,53
is_dem,0.0018309008,54
gas_avg_6mo,0.0017898977,55
n_polls_over50,0.0017473305,56
approval_std,0.0016753984,57
unemployment_trend_6mo,0.0016167344,58
gas_last12_delta,0.0015332246,59
fed_funds_trend,0.0015224078,60
cpi_core_last12_delta,0.0015191443,61
unemp_u6_last12_delta,0.0015144259,62
fed_funds_mean,0.0014728112,63
approval_trend_12mo,0.0014555654,64
gas_eve,0.001434984,65
min_days,0.0014058149,66
gas_trend_6mo,0.0014045546,67
n_lead_changes,0.0013917619,68
unemp_u6_avg_12mo,0.0013739516,69
n_polls,0.0013685807,70
is_president_party,0.0013599022,71
race_total_polls,0.0013052736,72
approval_eve,0.0011935153,73
unemp_u6_min,0.0011717897,74
fed_funds_min,0.0011457186,75
fed_funds_trend_3mo,0.0010811131,76
fed_funds_trend_6mo,0.00095360004,77
gas_trend_12mo,0.00048296235,78
unemp_u6_trend_12mo,0.00036776223,79
is_senate,0.00021997264,80
inflation_eve,6.641997e-05,81
is_gov,0.0,82
n_cands,0.0,83
fed_funds_trend_12mo,0.0,84
fed_funds_max_6mo,0.0,85
fed_funds_max_12mo,0.0,86
fed_funds_eve,0.0,87
fed_funds_last12_delta,0.0,88
fed_funds_max,0.0,89
fed_funds_max_3mo,0.0,90
cpi_core_avg_3mo,0.0,91
cpi_core_max_3mo,0.0,92
cpi_core_max_6mo,0.0,93
cpi_core_min,0.0,94
cpi_core_mean,0.0,95
cpi_core_std,0.0,96
cpi_core_trend,0.0,97
cpi_core_trend_12mo,0.0,98
cpi_core_trend_6mo,0.0,99
cpi_core_avg_6mo,0.0,100
cpi_core_max_12mo,0.0,101
cpi_core_max,0.0,102
cpi_core_eve,0.0,103
approval_max_3mo,0.0,104
approval_mean,0.0,105
tossup,0.0,106
is_inc_party_race,0.0,107
lead_changed,0.0,108
approval_max_12mo,0.0,109
approval_avg_12mo,0.0,110
approval_avg_6mo,0.0,111
approval_max_6mo,0.0,112
approval_trend_3mo,0.0,113
gas_avg_12mo,0.0,114
gas_mean,0.0,115
inflation_trend_6mo,0.0,116
inflation_max_6mo,0.0,117
inflation_mean,0.0,118
inflation_max_3mo,0.0,119
inflation_avg_6mo,0.0,120
inflation_avg_3mo,0.0,121
gas_max_6mo,0.0,122
gas_trend_3mo,0.0,123
gas_max_3mo,0.0,124
gas_max_12mo,0.0,125
gas_max,0.0,126
unemp_u6_max,0.0,127
unemp_u6_max_3mo,0.0,128
unemp_u6_max_12mo,0.0,129
unemp_u6_avg_6mo,0.0,130
unemp_u6_avg_3mo,0.0,131
unemp_u6_trend_6mo,0.0,132
unemp_u6_trend_3mo,0.0,133
unemp_u6_mean,0.0,134
unemp_u6_max_6mo,0.0,135
unemp_u6_eve,0.0,136
unemployment_eve,0.0,137
unemployment_avg_6mo,0.0,138
unemployment_avg_3mo,0.0,139
unemployment_max_3mo,0.0,140
unemployment_max_12mo,0.0,141
unemployment_max,0.0,142
unemployment_max_6mo,0.0,143
unemployment_min,0.0,144
unemployment_mean,0.0,145
unemployment_trend_12mo,0.0,146
unemployment_trend_3mo,0.0,147
