feature,gain,gain_pct,rank
is_incumbent,460.8250732421875,43.267,1
bio_office_level,47.321739196777344,4.443,2
inflation_min,25.13218116760254,2.36,3
approval_max_6mo,22.41336441040039,2.104,4
cpi_core_last12_delta,22.039335250854492,2.069,5
inflation_max,21.239360809326172,1.994,6
fund_share,19.969297409057617,1.875,7
cpi_core_trend_6mo,18.429553985595703,1.73,8
generic_ballot_min,17.212919235229492,1.616,9
prior_margin_cand,15.488103866577148,1.454,10
generic_ballot_std,14.79617691040039,1.389,11
fund_pac_pct,14.750163078308105,1.385,12
fund_receipts_ln,13.809704780578613,1.297,13
approval_min,12.73552417755127,1.196,14
approval_trend_3mo,12.308834075927734,1.156,15
cpi_core_trend_12mo,12.1906156539917,1.145,16
natl_env_cand,11.548164367675781,1.084,17
fed_funds_avg_3mo,11.083826065063477,1.041,18
unemp_u6_trend_6mo,10.941651344299316,1.027,19
approval_trend_6mo,10.910789489746094,1.024,20
unemployment_std,10.716094970703125,1.006,21
gas_trend,10.63137435913086,0.998,22
is_rep,10.592057228088379,0.994,23
cpi_core_avg_12mo,10.529585838317871,0.989,24
inflation_avg_12mo,9.840112686157227,0.924,25
fed_funds_avg_6mo,8.82960033416748,0.829,26
approval_mean,8.538986206054688,0.802,27
fed_funds_trend_3mo,8.385198593139648,0.787,28
inflation_avg_3mo,8.098485946655273,0.76,29
gas_last12_delta,7.992429256439209,0.75,30
unemp_u6_trend_12mo,7.765550136566162,0.729,31
is_dem,7.469855785369873,0.701,32
approval_trend_12mo,7.184757232666016,0.675,33
generic_ballot_eve,6.976122856140137,0.655,34
unemployment_trend,6.5081634521484375,0.611,35
generic_ballot_last12_delta,6.424074649810791,0.603,36
approval_avg_3mo,6.195390701293945,0.582,37
unemp_u6_std,6.109804153442383,0.574,38
unemp_u6_trend,5.955987453460693,0.559,39
generic_ballot_trend_3mo,5.855342388153076,0.55,40
fund_indiv_pct,5.7627153396606445,0.541,41
is_senate,5.673863410949707,0.533,42
sentiment_max,5.641083717346191,0.53,43
approval_std,5.602817058563232,0.526,44
sentiment_min,5.513374328613281,0.518,45
generic_ballot_trend,5.454416751861572,0.512,46
unemp_u6_max,5.413701057434082,0.508,47
approval_last12_delta,5.381747245788574,0.505,48
fed_funds_trend_6mo,5.034589767456055,0.473,49
cpi_core_trend_3mo,4.954090595245361,0.465,50
fund_smalldollar_pct,4.9149274826049805,0.461,51
fund_party_pct,4.768146991729736,0.448,52
inflation_trend_3mo,4.489832401275635,0.422,53
gas_trend_6mo,4.3784589767456055,0.411,54
gas_trend_3mo,4.287626266479492,0.403,55
fed_funds_trend_12mo,3.8729639053344727,0.364,56
fund_self_pct,3.646599054336548,0.342,57
sentiment_trend,3.603576183319092,0.338,58
unemp_u6_min,3.572664976119995,0.335,59
inflation_trend,3.477743148803711,0.327,60
inflation_last12_delta,3.456144332885742,0.324,61
fed_funds_trend,3.2124829292297363,0.302,62
generic_ballot_avg_12mo,2.061286211013794,0.194,63
fed_funds_max,2.0427350997924805,0.192,64
approval_max,1.657979965209961,0.156,65
sentiment_std,0.9061336517333984,0.085,66
generic_ballot_max_6mo,0.5515036582946777,0.052,67
approval_trend,0.0,0.0,68
approval_avg_12mo,0.0,0.0,69
approval_eve,0.0,0.0,70
approval_max_3mo,0.0,0.0,71
is_inc_party_race,0.0,0.0,72
is_president_party,0.0,0.0,73
is_gov,0.0,0.0,74
approval_avg_6mo,0.0,0.0,75
approval_max_12mo,0.0,0.0,76
fed_funds_avg_12mo,0.0,0.0,77
gas_eve,0.0,0.0,78
cpi_core_max_12mo,0.0,0.0,79
cpi_core_max,0.0,0.0,80
cpi_core_max_6mo,0.0,0.0,81
fed_funds_max_6mo,0.0,0.0,82
fed_funds_mean,0.0,0.0,83
fed_funds_min,0.0,0.0,84
fed_funds_std,0.0,0.0,85
fed_funds_eve,0.0,0.0,86
fed_funds_last12_delta,0.0,0.0,87
fed_funds_max_12mo,0.0,0.0,88
fed_funds_max_3mo,0.0,0.0,89
cpi_core_trend,0.0,0.0,90
cpi_core_mean,0.0,0.0,91
cpi_core_min,0.0,0.0,92
cpi_core_std,0.0,0.0,93
cpi_core_max_3mo,0.0,0.0,94
cpi_core_eve,0.0,0.0,95
cpi_core_avg_6mo,0.0,0.0,96
cpi_core_avg_3mo,0.0,0.0,97
generic_ballot_trend_6mo,0.0,0.0,98
generic_ballot_trend_12mo,0.0,0.0,99
generic_ballot_mean,0.0,0.0,100
generic_ballot_avg_3mo,0.0,0.0,101
generic_ballot_avg_6mo,0.0,0.0,102
generic_ballot_max,0.0,0.0,103
generic_ballot_max_12mo,0.0,0.0,104
generic_ballot_max_3mo,0.0,0.0,105
gas_max_3mo,0.0,0.0,106
gas_max_12mo,0.0,0.0,107
gas_max,0.0,0.0,108
gas_max_6mo,0.0,0.0,109
gas_std,0.0,0.0,110
gas_min,0.0,0.0,111
gas_mean,0.0,0.0,112
gas_trend_12mo,0.0,0.0,113
gas_avg_3mo,0.0,0.0,114
gas_avg_6mo,0.0,0.0,115
gas_avg_12mo,0.0,0.0,116
inflation_std,0.0,0.0,117
sentiment_eve,0.0,0.0,118
sentiment_avg_12mo,0.0,0.0,119
sentiment_avg_6mo,0.0,0.0,120
sentiment_avg_3mo,0.0,0.0,121
inflation_trend_6mo,0.0,0.0,122
inflation_trend_12mo,0.0,0.0,123
inflation_mean,0.0,0.0,124
inflation_max_6mo,0.0,0.0,125
inflation_max_3mo,0.0,0.0,126
inflation_max_12mo,0.0,0.0,127
inflation_avg_6mo,0.0,0.0,128
inflation_eve,0.0,0.0,129
sentiment_trend_6mo,0.0,0.0,130
sentiment_trend_3mo,0.0,0.0,131
sentiment_trend_12mo,0.0,0.0,132
sentiment_max_6mo,0.0,0.0,133
sentiment_mean,0.0,0.0,134
sentiment_last12_delta,0.0,0.0,135
sentiment_max_12mo,0.0,0.0,136
sentiment_max_3mo,0.0,0.0,137
unemp_u6_max_3mo,0.0,0.0,138
unemp_u6_max_12mo,0.0,0.0,139
unemp_u6_last12_delta,0.0,0.0,140
unemp_u6_eve,0.0,0.0,141
unemp_u6_avg_3mo,0.0,0.0,142
unemp_u6_mean,0.0,0.0,143
unemp_u6_avg_6mo,0.0,0.0,144
unemp_u6_avg_12mo,0.0,0.0,145
unemp_u6_trend_3mo,0.0,0.0,146
unemp_u6_max_6mo,0.0,0.0,147
unemployment_avg_12mo,0.0,0.0,148
unemployment_avg_3mo,0.0,0.0,149
unemployment_last12_delta,0.0,0.0,150
unemployment_max,0.0,0.0,151
unemployment_avg_6mo,0.0,0.0,152
unemployment_eve,0.0,0.0,153
unemployment_max_3mo,0.0,0.0,154
unemployment_max_12mo,0.0,0.0,155
unemployment_mean,0.0,0.0,156
unemployment_max_6mo,0.0,0.0,157
unemployment_min,0.0,0.0,158
unemployment_trend_12mo,0.0,0.0,159
unemployment_trend_3mo,0.0,0.0,160
unemployment_trend_6mo,0.0,0.0,161
