feature,gain_importance,rank
poll_lead,0.24584362,1
gap_x_recency,0.14295305,2
poll_last30,0.051024016,3
is_incumbent,0.040975098,4
poll_avg,0.040962808,5
poll_last,0.040783644,6
poll_share,0.040015638,7
abs_gap,0.032725353,8
inflation_min,0.026632167,9
inflation_max,0.022119803,10
twoparty_margin_cand,0.021733593,11
min_margin,0.018366743,12
prior_margin_cand,0.017205007,13
fund_pac_pct,0.016668458,14
fund_indiv_pct,0.01601518,15
fund_share,0.014643873,16
bio_office_level,0.013512313,17
unemp_u6_last12_delta,0.011601424,18
poll_momentum,0.0111690685,19
approval_trend_6mo,0.010790977,20
cpi_core_trend_3mo,0.010342209,21
fund_receipts_ln,0.0102502685,22
fund_party_pct,0.009911882,23
bias_prior_cand,0.009650926,24
fed_funds_min,0.009631956,25
n_polls_over50,0.009568068,26
poll_std,0.009393753,27
margin_trend,0.009151185,28
unemployment_trend,0.008736718,29
cpi_core_trend_6mo,0.008519518,30
is_rep,0.0082129035,31
natl_env_cand,0.008192929,32
fund_smalldollar_pct,0.007932311,33
primary_margin,0.007371901,34
avg_sample,0.0069545484,35
opp_primary_margin,0.0068594343,36
unemployment_max,0.006671522,37
margin_volatility,0.004748776,38
race_total_polls,0.004628095,39
fed_funds_avg_12mo,0.0024347915,40
generic_ballot_trend_3mo,0.0023158854,41
inflation_eve,0.0014893141,42
unemp_u6_max,0.0012892723,43
is_senate,0.0,44
n_cands,0.0,45
is_dem,0.0,46
is_president_party,0.0,47
approval_avg_12mo,0.0,48
approval_avg_6mo,0.0,49
approval_avg_3mo,0.0,50
frac_polls_over50,0.0,51
n_polls,0.0,52
min_days,0.0,53
primary_margin_diff,0.0,54
fund_self_pct,0.0,55
is_gov,0.0,56
is_inc_party_race,0.0,57
undecided,0.0,58
avg_margin_over_time,0.0,59
lead_changed,0.0,60
n_lead_changes,0.0,61
tossup,0.0,62
approval_trend_3mo,0.0,63
approval_trend_12mo,0.0,64
approval_trend,0.0,65
approval_std,0.0,66
approval_mean,0.0,67
approval_min,0.0,68
approval_max_6mo,0.0,69
approval_max_3mo,0.0,70
approval_eve,0.0,71
approval_max_12mo,0.0,72
approval_max,0.0,73
approval_last12_delta,0.0,74
cpi_core_max_3mo,0.0,75
cpi_core_last12_delta,0.0,76
cpi_core_avg_12mo,0.0,77
cpi_core_max,0.0,78
cpi_core_trend,0.0,79
cpi_core_trend_12mo,0.0,80
fed_funds_avg_6mo,0.0,81
fed_funds_avg_3mo,0.0,82
fed_funds_last12_delta,0.0,83
fed_funds_max,0.0,84
fed_funds_max_12mo,0.0,85
fed_funds_eve,0.0,86
fed_funds_max_3mo,0.0,87
cpi_core_max_12mo,0.0,88
cpi_core_max_6mo,0.0,89
cpi_core_mean,0.0,90
cpi_core_std,0.0,91
cpi_core_min,0.0,92
