feature,gain_importance,rank
poll_share,0.38627872,1
poll_lead,0.21325462,2
poll_avg,0.046243273,3
poll_last30,0.0318122,4
avg_margin_over_time,0.028389141,5
poll_last,0.024775045,6
is_incumbent,0.021466972,7
unemp_u6_trend_6mo,0.009054654,8
twoparty_margin_cand,0.008985911,9
abs_gap,0.008671692,10
inflation_min,0.006788522,11
inflation_avg_12mo,0.0062340875,12
min_margin,0.006207917,13
inflation_max_12mo,0.006076473,14
fund_receipts_ln,0.0055956524,15
inflation_max,0.0053650807,16
fund_share,0.005308673,17
generic_ballot_trend_3mo,0.0040959697,18
prior_margin_cand,0.0040619997,19
inflation_trend_6mo,0.003816641,20
is_rep,0.0038099308,21
unemployment_trend,0.0037979297,22
sentiment_trend_3mo,0.0034889826,23
n_polls,0.003464569,24
fed_funds_avg_3mo,0.0033110112,25
fund_pac_pct,0.0033044708,26
gap_x_recency,0.0032637566,27
unemp_u6_trend,0.003212844,28
inflation_eve,0.0031557432,29
gas_eve,0.0030822242,30
sentiment_max_6mo,0.0030788623,31
gas_trend,0.0028726791,32
generic_ballot_trend_6mo,0.0028632751,33
fed_funds_mean,0.0028379962,34
gas_avg_3mo,0.0027990402,35
poll_momentum,0.0027420556,36
bio_office_level,0.0027354183,37
is_dem,0.0027347046,38
bias_prior_cand,0.002701557,39
approval_last12_delta,0.002682846,40
inflation_last12_delta,0.0026199948,41
sentiment_avg_6mo,0.002600102,42
gas_trend_12mo,0.0025319336,43
sentiment_trend_12mo,0.0024750566,44
approval_avg_12mo,0.002441841,45
unemp_u6_min,0.0023921449,46
gas_std,0.0023878894,47
fund_indiv_pct,0.0023628862,48
cpi_core_trend_6mo,0.0022962678,49
fed_funds_min,0.0022906647,50
approval_trend_6mo,0.0021566572,51
is_senate,0.0021458704,52
fed_funds_trend,0.0021174278,53
sentiment_avg_12mo,0.0020784196,54
approval_trend_3mo,0.0020162473,55
sentiment_trend,0.0020011172,56
poll_std,0.0019703936,57
cpi_core_avg_12mo,0.0019490751,58
inflation_trend,0.0018475498,59
approval_max,0.0018471649,60
natl_env_cand,0.0018377029,61
min_days,0.0018186929,62
fed_funds_avg_12mo,0.001817926,63
race_total_polls,0.001777161,64
