feature,gain,gain_pct,rank
poll_last30,46002.328125,28.21,1
poll_lead,15025.82421875,9.214,2
gap_x_recency,13038.4248046875,7.996,3
poll_last,10653.650390625,6.533,4
poll_avg,9456.818359375,5.799,5
min_margin,3889.949951171875,2.385,6
poll_share,3436.474609375,2.107,7
poll_lead_last7,3367.59619140625,2.065,8
avg_margin_over_time,3254.53271484375,1.996,9
poll_lead_lv,3109.220458984375,1.907,10
poll_avg_lv,2978.133056640625,1.826,11
min_days,2453.568115234375,1.505,12
poll_last7,2240.92041015625,1.374,13
poll_std_rv,2168.9345703125,1.33,14
is_gov,2146.47265625,1.316,15
n_polls_rv,2146.020751953125,1.316,16
poll_lead_rv,2087.163818359375,1.28,17
poll_last_lv,2047.849365234375,1.256,18
poll_momentum,1936.6077880859375,1.188,19
poll_last_rv,1895.8841552734375,1.163,20
is_pres_party,1755.6710205078125,1.077,21
poll_last30_lv,1699.023193359375,1.042,22
bio_office_level,1680.76708984375,1.031,23
margin_trend,1672.7412109375,1.026,24
is_dem_primary,1617.22705078125,0.992,25
avg_sample,1566.1932373046875,0.96,26
is_senate,1522.847412109375,0.934,27
is_defending_party,1522.0513916015625,0.933,28
n_polls,1369.0819091796875,0.84,29
poll_std_lv,1361.3310546875,0.835,30
poll_std,1357.9874267578125,0.833,31
race_total_polls,1326.7332763671875,0.814,32
n_lead_changes,1302.649658203125,0.799,33
undecided,1284.655517578125,0.788,34
poll_avg_a,1263.3067626953125,0.775,35
n_cands,1164.3258056640625,0.714,36
poll_avg_rv,1052.91748046875,0.646,37
poll_lead_a,1049.038330078125,0.643,38
margin_volatility,1036.3704833984375,0.636,39
poll_last30_rv,891.08740234375,0.546,40
poll_last_a,885.18603515625,0.543,41
n_polls_lv,813.5916748046875,0.499,42
n_polls_last7,538.173095703125,0.33,43
poll_last30_a,0.0,0.0,44
n_polls_a,0.0,0.0,45
poll_std_a,0.0,0.0,46
